KINDRED	PROPN	KINDRED
not	PART	not
yet	ADV	yet
begun	VERB	begin
to	PART	to
consider	VERB	consider
the	DET	the
thrusting	NOUN	thrusting
of	ADP	of
their	PRON	their
tentacles	NOUN	tentacle
into	ADP	into
southwestern	ADJ	southwestern
Washington	PROPN	Washington
,	PUNCT	,
and	CCONJ	and
,	PUNCT	,
with	ADP	with
the	DET	the
exception	NOUN	exception
of	ADP	of
those	DET	those
regions	NOUN	region
where	SCONJ	where
good	ADJ	good
harbors	NOUN	harbor
had	AUX	have
partially	ADV	partially
solved	VERB	solve
the	DET	the
problem	NOUN	problem
of	ADP	of
transportation	NOUN	transportation
,	PUNCT	,
timber	NOUN	timber
in	ADP	in
Washington	PROPN	Washington
was	AUX	be
very	ADV	very
cheap	ADJ	cheap
.	PUNCT	.
Consequently	ADV	consequently
,	PUNCT	,
since	SCONJ	since
Hector	PROPN	Hector
McKaye	PROPN	McKaye
was	AUX	be
one	NUM	one
of	ADP	of
those	DET	those
hardy	ADJ	hardy
men	NOUN	man
who	PRON	who
never	ADV	never
hesitate	VERB	hesitate
to	PART	to
take	VERB	take
that	DET	that
which	DET	which
no	NOUN	no
man	NOUN	man
denies	VERB	deny
them	PRON	they
,	PUNCT	,
he	PRON	he
reached	VERB	reach
forth	ADV	forth
and	CCONJ	and
acquired	VERB	acquire
timber	NOUN	timber
.	PUNCT	.
A	DET	a
strip	NOUN	strip
of	ADP	of
land	NOUN	land
a	DET	a
quarter	NOUN	quarter
of	ADP	of
a	DET	a
mile	NOUN	mile
wide	ADJ	wide
and	CCONJ	and
fronting	VERB	front
the	DET	the
beach	NOUN	beach
was	AUX	be
barren	NOUN	barren
of	ADP	of
commercial	ADJ	commercial
timber	NOUN	timber
.	PUNCT	.
As	ADP	as
grazing	NOUN	grazing
-	PUNCT	-
land	NOUN	land
,	PUNCT	,
Hector	PROPN	Hector
McKaye	PROPN	McKaye
was	AUX	be
enabled	VERB	enable
to	PART	to
file	VERB	file
on	ADP	on
a	DET	a
full	ADJ	full
section	NOUN	section
of	ADP	of
this	DET	this
,	PUNCT	,
and	CCONJ	and
,	PUNCT	,
with	ADP	with
its	PRON	its
acquisition	NOUN	acquisition
,	PUNCT	,
he	PRON	he
owned	VERB	own
the	DET	the
key	NOUN	key
to	ADP	to
the	DET	the
outlet	NOUN	outlet
.	PUNCT	.
While	SCONJ	while
""""	PUNCT	""""
proving	VERB	prove
up	ADP	up
""""	PUNCT	""""
his	PRON	his
claim	NOUN	claim
,	PUNCT	,
he	PRON	he
operated	VERB	operate
a	DET	a
general	ADJ	general
store	NOUN	store
for	ADP	for
trading	VERB	trade
with	ADP	with
the	DET	the
Indians	PROPN	Indians
and	CCONJ	and
trappers	NOUN	trapper
,	PUNCT	,
and	CCONJ	and
at	ADP	at
this	DET	this
he	PRON	he
prospered	VERB	prosper
.	PUNCT	.
From	ADP	from
time	NOUN	time
to	ADP	to
time	NOUN	time
he	PRON	he
purchased	VERB	purchase
timber	NOUN	timber
-	PUNCT	-
claims	NOUN	claim
from	ADP	from
the	DET	the
trappers	NOUN	trapper
as	ADV	as
fast	ADV	fast
as	ADP	as
they	PRON	they
""""	PUNCT	""""
proved	VERB	prove
up	ADP	up
,	PUNCT	,
""""	PUNCT	""""
paying	VERB	pay
for	ADP	for
these	DET	these
stumpage	NOUN	stumpage
-	PUNCT	-
prices	NOUN	price
varying	VERB	vary
from	ADP	from
twenty	NUM	twenty
-	PUNCT	-
five	NUM	five
to	ADP	to
fifty	NUM	fifty
cents	NOUN	cent
per	ADP	per
thousand	NUM	thousand
.	PUNCT	.
On	ADP	on
his	PRON	his
frequent	ADJ	frequent
trips	NOUN	trip
to	ADP	to
the	DET	the
outer	ADJ	outer
world	NOUN	world
,	PUNCT	,
McKaye	PROPN	McKaye
extolled	VERB	extoll
the	DET	the
opportunities	NOUN	opportunity
for	ADP	for
acquiring	VERB	acquire
good	ADJ	good
timber	NOUN	timber
-	PUNCT	-
claims	NOUN	claim
down	ADV	down
on	ADP	on
the	DET	the
Skookum	PROPN	Skookum
;	PUNCT	;
he	PRON	he
advertised	VERB	advertise
them	PRON	they
in	ADP	in
letters	NOUN	letter
and	CCONJ	and
in	ADP	in
discreet	ADJ	discreet
interviews	NOUN	interview
with	ADP	with
the	DET	the
editors	NOUN	editor
of	ADP	of
little	ADJ	little
newspapers	NOUN	newspaper
in	ADP	in
the	DET	the
sawmill	NOUN	sawmill
towns	NOUN	town
on	ADP	on
Puget	PROPN	Puget
Sound	PROPN	Sound
and	CCONJ	and
Grays	PROPN	Grays
Harhor	PROPN	Harhor
;	PUNCT	;
he	PRON	he
let	VERB	let
it	PRON	it
be	AUX	be
known	VERB	know
that	SCONJ	that
an	DET	an
honest	ADJ	honest
fellow	NOUN	fellow
could	AUX	could
secure	VERB	secure
credit	NOUN	credit
for	ADP	for
a	DET	a
winter	NOUN	winter
's	PART	's
provisions	NOUN	provision
from	ADP	from
him	PRON	he
,	PUNCT	,
and	CCONJ	and
pay	VERB	pay
for	ADP	for
it	PRON	it
with	ADP	with
pelts	NOUN	pelt
in	ADP	in
the	DET	the
spring	NOUN	spring
.	PUNCT	.
The	DET	the
influx	NOUN	influx
of	ADP	of
homesteaders	NOUN	homesteader
increased	VERB	increase
--	PUNCT	--
single	ADJ	single
men	NOUN	man
,	PUNCT	,
for	ADP	for
the	DET	the
most	ADJ	most
part	NOUN	part
,	PUNCT	,
and	CCONJ	and
poor	ADJ	poor
--	PUNCT	--
men	NOUN	man
who	PRON	who
labored	VERB	labor
six	NUM	six
months	NOUN	month
of	ADP	of
the	DET	the
year	NOUN	year
elsewhere	ADV	elsewhere
and	CCONJ	and
lived	VERB	live
the	DET	the
remaining	VERB	remain
six	NUM	six
months	NOUN	month
in	ADP	in
rude	ADJ	rude
log	NOUN	log
huts	NOUN	hut
on	ADP	on
their	PRON	their
claims	NOUN	claim
down	ADV	down
on	ADP	on
the	DET	the
Skookum	PROPN	Skookum
.	PUNCT	.
And	CCONJ	and
when	SCONJ	when
the	DET	the
requirements	NOUN	requirement
of	ADP	of
the	DET	the
homestead	NOUN	homestead
laws	NOUN	law
had	AUX	have
been	AUX	be
complied	VERB	comply
with	ADP	with
and	CCONJ	and
a	DET	a
patent	NOUN	patent
to	ADP	to
their	PRON	their
quarter	ADJ	quarter
-	PUNCT	-
section	NOUN	section
obtained	VERB	obtain
from	ADP	from
the	DET	the
Land	PROPN	Land
Office	PROPN	Office
in	ADP	in
Washington	PROPN	Washington
,	PUNCT	,
the	DET	the
homesteaders	NOUN	homesteader
were	AUX	be
ready	ADJ	ready
to	PART	to
sell	VERB	sell
and	CCONJ	and
move	VERB	move
on	ADP	on
to	ADP	to
other	ADJ	other
and	CCONJ	and
greener	ADJ	green
pastures	NOUN	pasture
.	PUNCT	.
So	CCONJ	so
they	PRON	they
sold	VERB	sell
to	ADP	to
the	DET	the
only	ADJ	only
possible	ADJ	possible
purchaser	NOUN	purchaser
,	PUNCT	,
Hector	PROPN	Hector
McKaye	PROPN	McKaye
,	PUNCT	,
and	CCONJ	and
departed	VERB	depart
,	PUNCT	,
quite	ADV	quite
satisfied	ADJ	satisfied
with	ADP	with
a	DET	a
profit	NOUN	profit
which	DET	which
they	PRON	they
flattered	VERB	flatter
themselves	PRON	themselves
had	AUX	have
been	AUX	be
the	DET	the
result	NOUN	result
