Keeper	NOUN	keeper
!	PUNCT	!
All	DET	all
of	ADP	of
them	PRON	they
!	PUNCT	!
""""	PUNCT	""""
He	PRON	he
mused	VERB	muse
aloud	ADV	aloud
,	PUNCT	,
while	SCONJ	while
the	DET	the
slightly	ADV	slightly
satirical	ADJ	satirical
smile	NOUN	smile
deepened	VERB	deepen
,	PUNCT	,
hovering	VERB	hover
on	ADP	on
his	PRON	his
square	ADV	square
-	PUNCT	-
cut	VERB	cut
lips	NOUN	lip
,	PUNCT	,
crinkling	VERB	crinkle
the	DET	the
corners	NOUN	corner
of	ADP	of
the	DET	the
long	ADJ	long
,	PUNCT	,
strangely	ADV	strangely
colored	ADJ	colored
eyes	NOUN	eye
--	PUNCT	--
almost	ADV	almost
electric	ADJ	electric
blue	ADJ	blue
.	PUNCT	.
""""	PUNCT	""""
Warships	NOUN	warship
?	PUNCT	?
""""	PUNCT	""""
he	PRON	he
mused	VERB	muse
.	PUNCT	.
Bill	PROPN	Bill
saw	VERB	see
them	PRON	they
extend	VERB	extend
lateral	ADJ	lateral
fins	NOUN	fin
upon	SCONJ	upon
the	DET	the
icy	ADJ	icy
fragility	NOUN	fragility
of	ADP	of
the	DET	the
upper	ADJ	upper
air	NOUN	air
,	PUNCT	,
much	ADV	much
as	ADP	as
a	DET	a
bird	NOUN	bird
extends	VERB	extend
its	PRON	its
wings	NOUN	wing
,	PUNCT	,
and	CCONJ	and
come	VERB	come
shrieking	VERB	shriek
through	ADP	through
the	DET	the
tortured	ADJ	tortured
air	NOUN	air
in	ADP	in
a	DET	a
mad	ADJ	mad
race	NOUN	race
to	PART	to
be	AUX	be
the	DET	the
first	ADJ	first
to	PART	to
land	VERB	land
upon	SCONJ	upon
the	DET	the
expectant	ADJ	expectant
Earth	PROPN	Earth
.	PUNCT	.
In	ADP	in
great	ADJ	great
flawless	ADJ	flawless
spirals	NOUN	spiral
--	PUNCT	--
beautiful	ADJ	beautiful
beyond	ADP	beyond
belief	NOUN	belief
--	PUNCT	--
they	PRON	they
lost	VERB	lose
altitude	NOUN	altitude
,	PUNCT	,
leaving	VERB	leave
behind	ADV	behind
a	DET	a
vortex	NOUN	vortex
of	ADP	of
clouds	NOUN	cloud
boiling	VERB	boil
furiously	ADV	furiously
at	ADP	at
their	PRON	their
passage	NOUN	passage
.	PUNCT	.
Venus	PROPN	Venus
was	AUX	be
in	ADP	in
the	DET	the
lead	NOUN	lead
.	PUNCT	.
Bill	PROPN	Bill
Nardon	PROPN	Nardon
recognized	VERB	recognize
the	DET	the
powerful	ADJ	powerful
cruiser	NOUN	cruiser
by	ADP	by
its	PRON	its
insignia	NOUN	insignia
of	ADP	of
a	DET	a
serpent	NOUN	serpent
biting	VERB	bite
its	PRON	its
tail	NOUN	tail
,	PUNCT	,
fashioned	VERB	fashion
of	ADP	of
_	PUNCT	_
Josmians_--Venusian	ADJ	josmians_--venusian
pearls	NOUN	pearl
.	PUNCT	.
Close	ADV	close
behind	ADP	behind
it	PRON	it
was	AUX	be
Europa	PROPN	Europa
,	PUNCT	,
with	ADP	with
the	DET	the
insignia	NOUN	insignia
of	ADP	of
a	DET	a
blazing	VERB	blaze
Jupiter	PROPN	Jupiter
on	ADP	on
its	PRON	its
side	NOUN	side
;	PUNCT	;
Neptune	PROPN	Neptune
with	ADP	with
its	PRON	its
emblazoned	ADJ	emblazoned
shield	NOUN	shield
of	ADP	of
a	DET	a
tiered	ADJ	tiered
city	NOUN	city
,	PUNCT	,
and	CCONJ	and
little	ADJ	little
Mercury	PROPN	Mercury
with	ADP	with
the	DET	the
royal	ADJ	royal
emblem	NOUN	emblem
of	ADP	of
incandescent	ADJ	incandescent
Sol	PROPN	Sol
.	PUNCT	.
And	CCONJ	and
at	ADP	at
the	DET	the
very	ADJ	very
end	NOUN	end
,	PUNCT	,
aloof	ADJ	aloof
,	PUNCT	,
disdainful	ADJ	disdainful
,	PUNCT	,
the	DET	the
truly	ADV	truly
magnificent	ADJ	magnificent
work	NOUN	work
of	ADP	of
science	NOUN	science
and	CCONJ	and
art	NOUN	art
that	PRON	that
was	AUX	be
the	DET	the
Martian	ADJ	martian
vessel	NOUN	vessel
,	PUNCT	,
which	DET	which
characteristically	ADV	characteristically
wore	VERB	wear
no	DET	no
emblem	NOUN	emblem
at	ADV	at
all	ADV	all
,	PUNCT	,
and	CCONJ	and
seemed	VERB	seem
to	PART	to
be	AUX	be
content	ADJ	content
to	PART	to
be	AUX	be
the	DET	the
last	ADJ	last
to	PART	to
arrive	VERB	arrive
,	PUNCT	,
so	ADV	so
long	ADV	long
as	ADP	as
it	PRON	it
kept	VERB	keep
from	ADP	from
being	AUX	be
contaminated	VERB	contaminate
by	ADP	by
close	ADJ	close
contact	NOUN	contact
with	ADP	with
the	DET	the
races	NOUN	race
of	ADP	of
other	ADJ	other
worlds	NOUN	world
than	ADP	than
Mars	PROPN	Mars
.	PUNCT	.
A	DET	a
great	ADJ	great
swirl	NOUN	swirl
of	ADP	of
ceremonial	ADJ	ceremonial
music	NOUN	music
rose	VERB	rise
from	ADP	from
the	DET	the
immense	ADJ	immense
spaceport	NOUN	spaceport
,	PUNCT	,
the	DET	the
cathedral	NOUN	cathedral
-	PUNCT	-
like	ADJ	like
architectonics	NOUN	architectonic
weaving	VERB	weave
intricate	ADJ	intricate
patterns	NOUN	pattern
upwards	ADV	upwards
to	ADP	to
the	DET	the
skies	NOUN	sky
as	ADP	as
if	SCONJ	if
to	PART	to
receive	VERB	receive
in	ADP	in
an	DET	an
ocean	NOUN	ocean
of	ADP	of
melody	NOUN	melody
the	DET	the
arriving	VERB	arrive
delegates	NOUN	delegate
.	PUNCT	.
Bill	PROPN	Bill
Nardon	PROPN	Nardon
sighed	VERB	sigh
,	PUNCT	,
his	PRON	his
task	NOUN	task
was	AUX	be
about	ADJ	about
to	PART	to
begin	VERB	begin
.	PUNCT	.
With	ADP	with
a	DET	a
slight	ADJ	slight
movement	NOUN	movement
of	ADP	of
his	PRON	his
right	ADJ	right
hand	NOUN	hand
,	PUNCT	,
he	PRON	he
touched	VERB	touch
the	DET	the
controls	NOUN	control
gleaming	VERB	gleam
on	ADP	on
the	DET	the
desk	NOUN	desk
before	ADP	before
him	PRON	he
,	PUNCT	,
and	CCONJ	and
the	DET	the
scene	NOUN	scene
at	ADP	at
the	DET	the
spaceport	NOUN	spaceport
rushed	VERB	rush
with	ADP	with
vertiginous	ADJ	vertiginous
speed	NOUN	speed
into	ADP	into
close	ADJ	close
focus	NOUN	focus
;	PUNCT	;
still	ADV	still
he	PRON	he
was	AUX	be
not	PART	not
satisfied	ADJ	satisfied
,	PUNCT	,
but	CCONJ	but
continued	VERB	continue
to	PART	to
manipulate	VERB	manipulate
the	DET	the
Ethero	PROPN	Ethero
-	PUNCT	-
solidograph	NOUN	solidograph
controls	NOUN	control
