Bell	PROPN	Bell
xxx	NOUN	xxx
.	PUNCT	.
MRS	PROPN	MRS
.	PROPN	.
MERRY	PROPN	MERRY
'S	PART	's
VISITORS	NOUN	visitor
XX	X	xx
.	PUNCT	.
AN	DET	an
AMAZING	ADJ	amazing
CONFESSION	NOUN	confession
XXI	NOUN	xxi
.	PUNCT	.
THE	DET	the
DIAMONDS	NOUN	diamond
XXII	NOUN	xxii
.	PUNCT	.
BUTSEY	PROPN	BUTSEY
'S	PART	's
STORY	NOUN	story
XXIII	NOUN	xxiii
.	PUNCT	.
MISS	PROPN	MISS
LORRY	PROPN	LORRY
'S	PART	's
LAST	ADJ	last
APPEARANCE	NOUN	appearance
XXIV	NUM	xxiv
.	PUNCT	.
THE	DET	the
WINDING	NOUN	winding
OF	ADP	of
THE	DET	the
SKEIN	PROPN	SKEIN
THE	DET	the
WOODEN	PROPN	WOODEN
HAND	PROPN	HAND
CHAPTER	PROPN	CHAPTER
I	PROPN	I
MISERY	PROPN	MISERY
CASTLE	PROPN	CASTLE
""""	PUNCT	""""
Ah	INTJ	ah
well	INTJ	well
,	PUNCT	,
Miss	PROPN	Miss
Eva	PROPN	Eva
,	PUNCT	,
I	PRON	I
'	AUX	'
spose	VERB	spose
your	PRON	your
pa'ull	AUX	pa'ull
come	VERB	come
home	ADV	home
to	PART	to
spile	VERB	spile
things	NOUN	thing
as	ADP	as
he	PRON	he
allays	VERB	allay
have	AUX	have
done	VERB	do
.	PUNCT	.
It	PRON	it
ai	VERB	be
n't	PART	not
no	DET	no
wonder	NOUN	wonder
,	PUNCT	,
I	PRON	I
ses	VERB	se
,	PUNCT	,
as	ADP	as
you	PRON	you
sits	VERB	sit
moping	VERB	mope
by	ADP	by
the	DET	the
winder	NOUN	winder
,	PUNCT	,
looking	VERB	look
double	DET	double
your	PRON	your
age	NOUN	age
,	PUNCT	,
and	CCONJ	and
you	PRON	you
only	ADV	only
twenty	NUM	twenty
,	PUNCT	,
as	ADP	as
has	AUX	have
no	DET	no
right	NOUN	right
to	PART	to
look	VERB	look
forty	NUM	forty
,	PUNCT	,
whatever	DET	whatever
you	PRON	you
may	AUX	may
say	VERB	say
,	PUNCT	,
though	SCONJ	though
I	PRON	I
took	VERB	take
my	PRON	my
dying	VERB	die
alfred	PROPN	alfred
-	PUNCT	-
david	PROPN	david
on	ADP	on
its	PRON	its
blessed	ADJ	blessed
truth	NOUN	truth
.	PUNCT	.
""""	PUNCT	""""
This	DET	this
slightly	ADV	slightly
incoherent	ADJ	incoherent
and	CCONJ	and
decidedly	ADV	decidedly
pessimistic	ADJ	pessimistic
speech	NOUN	speech
was	AUX	be
moaned	VERB	moan
,	PUNCT	,
rather	ADV	rather
than	ADP	than
spoken	VERB	speak
,	PUNCT	,
by	ADP	by
a	DET	a
lean	ADJ	lean
-	PUNCT	-
bodied	ADJ	bodied
,	PUNCT	,
hard	ADJ	hard
-	PUNCT	-
faced	ADJ	faced
,	PUNCT	,
staring	VERB	stare
-	PUNCT	-
eyed	ADJ	eyed
woman	NOUN	woman
to	ADP	to
a	DET	a
pretty	ADJ	pretty
girl	NOUN	girl
,	PUNCT	,
who	PRON	who
did	AUX	do
not	PART	not
look	VERB	look
at	ADP	at
the	DET	the
speaker	NOUN	speaker
.	PUNCT	.
And	CCONJ	and
small	ADJ	small
wonder	NOUN	wonder
.	PUNCT	.
Mrs.	PROPN	Mrs.
Merry	PROPN	Merry
--	PUNCT	--
inappropriate	ADJ	inappropriate
name	NOUN	name
--	PUNCT	--
was	AUX	be
unattractive	ADJ	unattractive
to	ADP	to
the	DET	the
eye	NOUN	eye
.	PUNCT	.
She	PRON	she
was	AUX	be
angular	ADJ	angular
,	PUNCT	,
grey	ADJ	grey
-	PUNCT	-
skinned	ADJ	skinned
,	PUNCT	,
grey	ADJ	grey
-	PUNCT	-
eyed	ADJ	eyed
,	PUNCT	,
grey	ADJ	grey
-	PUNCT	-
haired	ADJ	haired
,	PUNCT	,
and	CCONJ	and
had	AUX	have
thin	ADJ	thin
,	PUNCT	,
drooping	ADJ	drooping
lips	NOUN	lip
almost	ADV	almost
as	ADV	as
grey	ADJ	grey
as	ADP	as
the	DET	the
rest	NOUN	rest
of	ADP	of
her	PRON	she
.	PUNCT	.
In	ADP	in
her	PRON	her
black	ADJ	black
stuff	NOUN	stuff
gown	NOUN	gown
--	PUNCT	--
she	PRON	she
invariably	ADV	invariably
wore	VERB	wear
the	DET	the
most	ADV	most
funereal	ADJ	funereal
dresses	NOUN	dress
--	PUNCT	--
with	ADP	with
uneasy	ADJ	uneasy
hands	NOUN	hand
folded	VERB	fold
under	ADP	under
a	DET	a
coarse	ADJ	coarse
apron	NOUN	apron
,	PUNCT	,
she	PRON	she
stood	VERB	stand
before	ADP	before
Eva	PROPN	Eva
Strode	PROPN	Strode
,	PUNCT	,
uttering	VERB	utter
lamentations	NOUN	lamentation
worthy	ADJ	worthy
of	ADP	of
Jeremiah	PROPN	Jeremiah
at	ADP	at
his	PRON	his
worst	ADJ	bad
.	PUNCT	.
But	CCONJ	but
such	ADJ	such
dumpishness	NOUN	dumpishness
was	AUX	be
characteristic	ADJ	characteristic
of	ADP	of
the	DET	the
woman	NOUN	woman
.	PUNCT	.
She	PRON	she
delighted	VERB	delight
in	ADP	in
looking	VERB	look
on	ADP	on
the	DET	the
black	NOUN	black
side	NOUN	side
of	ADP	of
things	NOUN	thing
,	PUNCT	,
and	CCONJ	and
the	DET	the
blacker	ADJ	black
they	PRON	they
were	AUX	be
,	PUNCT	,
the	DET	the
more	ADV	more
she	PRON	she
relished	VERB	relish
them	PRON	they
.	PUNCT	.
Out	ADP	out
of	ADP	of
wrong	NOUN	wrong
-	PUNCT	-
doing	NOUN	doing
,	PUNCT	,
and	CCONJ	and
grief	NOUN	grief
and	CCONJ	and
things	NOUN	thing
awry	ADJ	awry
,	PUNCT	,
she	PRON	she
extracted	VERB	extract
a	DET	a
queer	ADJ	queer
sort	NOUN	sort
of	ADP	of
pleasure	NOUN	pleasure
,	PUNCT	,
and	CCONJ	and
felt	VERB	feel
never	ADV	never
so	ADV	so
happy	ADJ	happy
as	ADP	as
when	SCONJ	when
the	DET	the
worst	ADJ	bad
came	VERB	come
to	ADP	to
the	DET	the
worst	ADJ	bad
.	PUNCT	.
It	PRON	it
seemed	VERB	seem
unfit	ADJ	unfit
that	SCONJ	that
such	DET	such
a	DET	a
walking	VERB	walk
pageant	NOUN	pageant
of	ADP	of
woe	NOUN	woe
should	AUX	should
be	AUX	be
called	VERB	call
Merry	PROPN	Merry
.	PUNCT	.
Eva	PROPN	Eva
,	PUNCT	,
already	ADV	already
depressed	VERB	depress
by	ADP	by
the	DET	the
voice	NOUN	voice
and	CCONJ	and
sentiment	NOUN	sentiment
