TRENTON	PROPN	TRENTON
_	PUNCT	_
GENERAL	NOUN	general
PUTNAM	PROPN	PUTNAM
GLANCED	VERB	glance
UP	ADP	up
47	NUM	47
“	PUNCT	""""
I	PRON	I
WALKED	VERB	walk
INTO	ADP	into
A	DET	a
NEST	NOUN	nest
OF	ADP	of
KING	NOUN	king
'S	PART	's
MEN	NOUN	man
”	PUNCT	""""
89	NUM	89
LORD	PROPN	LORD
STERLING	PROPN	STERLING
BROKE	VERB	break
THE	DET	the
SEAL	NOUN	seal
156	NUM	156
“	PUNCT	""""
ALEXANDER	PROPN	ALEXANDER
HAMILTON	PROPN	HAMILTON
,	PUNCT	,
”	PUNCT	""""
HE	PRON	he
REPLIED	VERB	reply
184	NUM	184
THE	DET	the
HAND	NOUN	hand
PAUSED	VERB	pause
221	NUM	221
“	PUNCT	""""
IT	PRON	it
'S	AUX	be
THE	DET	the
ARMY	NOUN	army
OF	ADP	of
WASHINGTON	PROPN	WASHINGTON
”	PUNCT	""""
315	NUM	315
The	DET	the
Young	PROPN	Young
Continentals	PROPN	Continentals
at	ADP	at
Trenton	PROPN	Trenton
CHAPTER	NOUN	chapter
I	PRON	I
SHOWS	VERB	show
HOW	SCONJ	how
MERCHANT	NOUN	merchant
DANA	PROPN	DANA
BOARDED	VERB	board
THE	DET	the
“	PUNCT	""""
NANCY	NOUN	nancy
BREEN	NOUN	breen
”	PUNCT	""""
AND	CCONJ	and
WHAT	PRON	what
CAME	VERB	come
OF	ADP	of
IT	PROPN	IT
A	PROPN	A
dry	ADJ	dry
,	PUNCT	,
weazened	VERB	weazene
little	ADJ	little
man	NOUN	man
with	ADP	with
a	DET	a
halt	NOUN	halt
in	ADP	in
his	PRON	his
step	NOUN	step
passed	VERB	pass
“	PUNCT	""""
The	PROPN	The
Brigantine	PROPN	Brigantine
”	PUNCT	""""
inn	NOUN	inn
which	DET	which
faced	VERB	face
the	DET	the
East	PROPN	East
River	PROPN	River
at	ADP	at
the	DET	the
foot	NOUN	foot
of	ADP	of
Broad	PROPN	Broad
Street	PROPN	Street
;	PUNCT	;
and	CCONJ	and
as	ADP	as
he	PRON	he
did	AUX	do
so	ADV	so
,	PUNCT	,
he	PRON	he
peered	VERB	peer
in	ADV	in
at	ADP	at
the	DET	the
windows	NOUN	window
and	CCONJ	and
doors	NOUN	door
,	PUNCT	,
for	ADP	for
it	PRON	it
was	AUX	be
a	DET	a
fine	ADJ	fine
spring	NOUN	spring
morning	NOUN	morning
and	CCONJ	and
they	PRON	they
stood	VERB	stand
wide	ADJ	wide
.	PUNCT	.
“	PUNCT	""""
The	DET	the
Brigantine	PROPN	Brigantine
”	PUNCT	""""
was	AUX	be
a	DET	a
place	NOUN	place
for	ADP	for
captains	NOUN	captain
and	CCONJ	and
mates	NOUN	mate
and	CCONJ	and
merchants	NOUN	merchant
to	PART	to
congregate	VERB	congregate
;	PUNCT	;
and	CCONJ	and
all	ADV	all
about	ADP	about
it	PRON	it
were	AUX	be
warehouses	NOUN	warehouse
,	PUNCT	,
shipping	NOUN	shipping
offices	NOUN	office
and	CCONJ	and
places	NOUN	place
for	ADP	for
the	DET	the
sale	NOUN	sale
of	ADP	of
maritime	NOUN	maritime
stores	NOUN	store
.	PUNCT	.
Apparently	ADV	apparently
what	PRON	what
the	DET	the
weazened	ADJ	weazened
little	ADJ	little
man	NOUN	man
sought	VERB	seek
was	AUX	be
not	PART	not
visible	ADJ	visible
in	ADP	in
or	CCONJ	or
about	ADP	about
the	DET	the
tavern	NOUN	tavern
,	PUNCT	,
for	ADP	for
he	PRON	he
went	VERB	go
halting	VERB	halt
across	ADP	across
the	DET	the
roadway	NOUN	roadway
and	CCONJ	and
out	ADP	out
upon	SCONJ	upon
the	DET	the
wharf	NOUN	wharf
,	PUNCT	,
peering	VERB	peer
inquisitively	ADV	inquisitively
here	ADV	here
and	CCONJ	and
there	ADV	there
through	ADP	through
a	DET	a
pair	NOUN	pair
of	ADP	of
huge	ADJ	huge
,	PUNCT	,
horn	NOUN	horn
-	PUNCT	-
rimmed	ADJ	rimmed
glasses	NOUN	glass
.	PUNCT	.
A	DET	a
good	ADJ	good
-	PUNCT	-
sized	ADJ	sized
shallop	NOUN	shallop
was	AUX	be
moored	VERB	moor
to	ADP	to
the	DET	the
wharf	NOUN	wharf
.	PUNCT	.
She	PRON	she
had	AUX	have
come	VERB	come
down	ADP	down
the	DET	the
Sound	NOUN	sound
during	ADP	during
the	DET	the
night	NOUN	night
;	PUNCT	;
a	DET	a
lean	ADJ	lean
looking	VERB	look
lad	NOUN	lad
with	ADP	with
a	DET	a
vacant	ADJ	vacant
grin	NOUN	grin
upon	SCONJ	upon
his	PRON	his
face	NOUN	face
was	AUX	be
furling	VERB	furl
her	PRON	her
clumsy	ADJ	clumsy
lugs	NOUN	lug
,	PUNCT	,
and	CCONJ	and
in	ADP	in
the	DET	the
waist	NOUN	waist
the	DET	the
skipper	NOUN	skipper
was	AUX	be
coiling	VERB	coil
a	DET	a
line	NOUN	line
with	ADP	with
expert	ADJ	expert
neatness	NOUN	neatness
.	PUNCT	.
The	DET	the
dry	ADJ	dry
little	ADJ	little
man	NOUN	man
limped	VERB	limp
to	ADP	to
the	DET	the
string	NOUN	string
-	PUNCT	-
piece	NOUN	piece
;	PUNCT	;
readjusting	VERB	readjust
his	PRON	his
glasses	NOUN	glass
,	PUNCT	,
he	PRON	he
inquired	VERB	inquire
in	ADP	in
a	DET	a
high	ADJ	high
thin	ADJ	thin
voice	NOUN	voice
which	DET	which
squeaked	VERB	squeak
when	SCONJ	when
he	PRON	he
sought	VERB	seek
to	PART	to
raise	VERB	raise
it	PRON	it
:	PUNCT	:
“	PUNCT	""""
Just	ADV	just
in	ADV	in
to	ADP	to
-	PUNCT	-
day	NOUN	day
,	PUNCT	,
captain	NOUN	captain
?	PUNCT	?
”	PUNCT	""""
“	PUNCT	""""
An	DET	an
hour	NOUN	hour
ago	ADV	ago
,	PUNCT	,
”	PUNCT	""""
replied	VERB	reply
the	DET	the
skipper	NOUN	skipper
.	PUNCT	.
The	DET	the
little	ADJ	little
man	NOUN	man
stepped	VERB	step
upon	SCONJ	upon
the	DET	the
rail	NOUN	rail
and	CCONJ	and
then	ADV	then
with	ADP	with
great	ADJ	great
care	NOUN	care
reached	VERB	reach
the	DET	the
deck	NOUN	deck
.	PUNCT	.
Approaching	VERB	approach
the	DET	the
skipper	NOUN	skipper
,	PUNCT	,
he	PRON	he
proceeded	VERB	proceed
with	ADP	with
marked	ADJ	marked
anxiety	NOUN	anxiety
and	CCONJ	and
some	DET	some
craft	NOUN	craft
:	PUNCT	:
“	PUNCT	""""
I	PRON	I
suppose	VERB	suppose
you	PRON	you
hail	VERB	hail
from	ADP	from
Newport	PROPN	Newport
?	PUNCT	?
”	PUNCT	""""
“	PUNCT	""""
New	PROPN	New
London	PROPN	London
,	PUNCT	,
”	PUNCT	""""
replied	VERB	reply
the	DET	the
shallop	NOUN	shallop
's	PART	's
master	NOUN	master
.	PUNCT	.
The	DET	the
anxiety	NOUN	anxiety
of	ADP	of
the	DET	the
little	ADJ	little
man	NOUN	man
now	ADV	now
became	VERB	become
tinged	VERB	tinge
with	ADP	with
eagerness	NOUN	eagerness
.	PUNCT	.
“	PUNCT	""""
You	PRON	you
did	AUX	do
not	PART	not
bring	VERB	bring
a	DET	a
passenger	NOUN	passenger
,	PUNCT	,
I	PRON	I
know	VERB	know
,	PUNCT	,
”	PUNCT	""""
said	VERB	say
he	PRON	he
.	PUNCT	.
“	PUNCT	""""
Wrong	ADJ	wrong
,	PUNCT	,
master	NOUN	master
,	PUNCT	,
”	PUNCT	""""
returned	VERB	return
the	DET	the
sailor	NOUN	sailor
.	PUNCT	.
“	PUNCT	""""
I	PRON	I
did	AUX	do
,	PUNCT	,
and	CCONJ	and
there	ADV	there
he	PRON	he
sits	VERB	sit
,	PUNCT	,
as	ADV	as
natural	ADJ	natural
as	ADP	as
you	PRON	you
please	VERB	please
.	PUNCT	.
”	PUNCT	""""
A	DET	a
bronzed	ADJ	bronzed
,	PUNCT	,
well	ADV	well
-	PUNCT	-
made	VERB	make
youth	NOUN	youth
was	AUX	be
leaning	VERB	lean
over	ADP	over
the	DET	the
craft	NOUN	craft
's	PART	's
stern	NOUN	stern
,	PUNCT	,
gazing	VERB	gaze
out	ADV	out
over	ADP	over
the	DET	the
waters	NOUN	water
of	ADP	of
the	DET	the
bay	NOUN	bay
to	ADP	to
where	SCONJ	where
several	ADJ	several
black	ADJ	black
hulled	ADJ	hulled
frigates	NOUN	frigate
swung	VERB	swing
frowningly	ADV	frowningly
at	ADP	at
anchor	NOUN	anchor
;	PUNCT	;
his	PRON	his
eyes	NOUN	eye
seemed	VERB	seem
to	PART	to
soberly	ADV	soberly
measure	VERB	measure
the	DET	the
flaunt	NOUN	flaunt
of	ADP	of
their	PRON	their
colors	NOUN	color
,	PUNCT	,
and	CCONJ	and
the	DET	the
bravado	NOUN	bravado
of	ADP	of
their	PRON	their
staring	VERB	stare
ports	NOUN	port
.	PUNCT	.
At	ADP	at
once	ADV	once
the	DET	the
weazened	VERB	weazene
little	ADJ	little
man	NOUN	man
was	AUX	be
at	ADP	at
his	PRON	his
side	NOUN	side
.	PUNCT	.
“	PUNCT	""""
Good	ADJ	good
-	PUNCT	-
morning	NOUN	morning
,	PUNCT	,
young	ADJ	young
gentleman	NOUN	gentleman
,	PUNCT	,
”	PUNCT	""""
said	VERB	say
he	PRON	he
,	PUNCT	,
with	ADP	with
a	DET	a
squeak	NOUN	squeak
.	PUNCT	.
“	PUNCT	""""
It	PRON	it
is	AUX	be
a	DET	a
beautiful	ADJ	beautiful
day	NOUN	day
,	PUNCT	,
is	AUX	be
it	PRON	it
not	PART	not
?	PUNCT	?
”	PUNCT	""""
The	DET	the
young	ADJ	young
man	NOUN	man
turned	VERB	turn
and	CCONJ	and
surveyed	VERB	survey
the	DET	the
newcomer	NOUN	newcomer
.	PUNCT	.
“	PUNCT	""""
Yes	INTJ	yes
,	PUNCT	,
”	PUNCT	""""
he	PRON	he
returned	VERB	return
,	PUNCT	,
“	PUNCT	""""
it	PRON	it
is	AUX	be
a	DET	a
fine	ADJ	fine
day	NOUN	day
enough	ADV	enough
.	PUNCT	.
”	PUNCT	""""
“	PUNCT	""""
You	PRON	you
came	VERB	come
down	ADV	down
from	ADP	from
New	PROPN	New
London	PROPN	London
,	PUNCT	,
I	PRON	I
understand	VERB	understand
,	PUNCT	,
”	PUNCT	""""
questioned	VERB	question
the	DET	the
dry	ADJ	dry
little	ADJ	little
man	NOUN	man
.	PUNCT	.
The	DET	the
youth	NOUN	youth
nodded	VERB	nod
rather	ADV	rather
absently	ADV	absently
.	PUNCT	.
However	ADV	however
,	PUNCT	,
the	DET	the
other	ADJ	other
rubbed	VERB	rub
his	PRON	his
hands	NOUN	hand
with	ADP	with
quite	DET	quite
a	DET	a
degree	NOUN	degree
of	ADP	of
briskness	NOUN	briskness
and	CCONJ	and
seemed	VERB	seem
greatly	ADV	greatly
pleased	ADJ	pleased
.	PUNCT	.
“	PUNCT	""""
And	CCONJ	and
,	PUNCT	,
”	PUNCT	""""
said	VERB	say
he	PRON	he
,	PUNCT	,
positively	ADV	positively
,	PUNCT	,
“	PUNCT	""""
you	PRON	you
were	AUX	be
required	VERB	require
to	PART	to
deliver	VERB	deliver
--	PUNCT	--
ah	INTJ	ah
--	PUNCT	--
something	PRON	something
to	ADP	to
--	PUNCT	--
ah	INTJ	ah
--	PUNCT	--
some	DET	some
one	NOUN	one
?	PUNCT	?
”	PUNCT	""""
The	DET	the
youth	NOUN	youth
was	AUX	be
alert	ADJ	alert
enough	ADV	enough
now	ADV	now
;	PUNCT	;
he	PRON	he
examined	VERB	examine
the	DET	the
little	ADJ	little
man	NOUN	man
with	ADP	with
inquiring	VERB	inquire
eyes	NOUN	eye
.	PUNCT	.
“	PUNCT	""""
Quite	ADV	quite
so	ADV	so
,	PUNCT	,
”	PUNCT	""""
he	PRON	he
replied	VERB	reply
.	PUNCT	.
The	DET	the
hand	NOUN	hand
rubbing	VERB	rub
now	ADV	now
indicated	VERB	indicate
vast	ADJ	vast
relief	NOUN	relief
;	PUNCT	;
but	CCONJ	but
in	ADP	in
a	DET	a
moment	NOUN	moment
it	PRON	it
ceased	VERB	cease
,	PUNCT	,
and	CCONJ	and
an	DET	an
expression	NOUN	expression
of	ADP	of
disquiet	NOUN	disquiet
came	VERB	come
into	ADP	into
the	DET	the
wrinkled	ADJ	wrinkled
,	PUNCT	,
high	ADJ	high
-	PUNCT	-
featured	ADJ	featured
face	NOUN	face
.	PUNCT	.
“	PUNCT	""""
Of	ADV	of
course	ADV	course
,	PUNCT	,
”	PUNCT	""""
spoke	VERB	speak
the	DET	the
little	ADJ	little
man	NOUN	man
,	PUNCT	,
eagerly	ADV	eagerly
,	PUNCT	,
“	PUNCT	""""
this	DET	this
vessel	NOUN	vessel
is	AUX	be
the	DET	the
‘	PUNCT	'
Nancy	PROPN	Nancy
Breen	PROPN	Breen
'	PUNCT	'
?	PUNCT	?
”	PUNCT	""""
“	PUNCT	""""
It	PRON	it
is	AUX	be
,	PUNCT	,
”	PUNCT	""""
answered	VERB	answer
the	DET	the
other	ADJ	other
