WORKS	NOUN	work
showed	VERB	show
him	PRON	he
my	PRON	my
badge	NOUN	badge
.	PUNCT	.
“	PUNCT	""""
Yes	INTJ	yes
,	PUNCT	,
”	PUNCT	""""
he	PRON	he
murmured	VERB	murmur
;	PUNCT	;
“	PUNCT	""""
but	CCONJ	but
I	PRON	I
did	AUX	do
not	PART	not
expect”——he	PRON	expect”——he
paused	VERB	pause
.	PUNCT	.
I	PRON	I
was	AUX	be
used	VERB	use
to	ADP	to
these	DET	these
pauses	NOUN	pause
;	PUNCT	;
I	PRON	I
do	AUX	do
not	PART	not
suppose	VERB	suppose
I	PRON	I
look	VERB	look
exactly	ADV	exactly
like	ADP	like
the	DET	the
ordinary	ADJ	ordinary
detective	NOUN	detective
.	PUNCT	.
“	PUNCT	""""
Your	PRON	your
name	NOUN	name
?	PUNCT	?
”	PUNCT	""""
he	PRON	he
asked	VERB	ask
,	PUNCT	,
ushering	VERB	usher
me	PRON	I
into	ADP	into
a	DET	a
small	ADJ	small
reception	NOUN	reception
-	PUNCT	-
room	NOUN	room
.	PUNCT	.
“	PUNCT	""""
Byrd	PROPN	Byrd
,	PUNCT	,
”	PUNCT	""""
I	PRON	I
replied	VERB	reply
.	PUNCT	.
And	CCONJ	and
taking	VERB	take
as	ADP	as
a	DET	a
compliment	NOUN	compliment
the	DET	the
look	NOUN	look
of	ADP	of
satisfaction	NOUN	satisfaction
which	DET	which
crossed	VERB	cross
his	PRON	his
face	NOUN	face
as	ADP	as
he	PRON	he
finished	VERB	finish
a	DET	a
hasty	ADJ	hasty
but	CCONJ	but
keen	ADJ	keen
scrutiny	NOUN	scrutiny
of	ADP	of
my	PRON	my
countenance	NOUN	countenance
and	CCONJ	and
figure	NOUN	figure
,	PUNCT	,
I	PRON	I
in	ADP	in
turn	NOUN	turn
subjected	VERB	subject
him	PRON	he
to	ADP	to
a	DET	a
respectful	ADJ	respectful
but	CCONJ	but
earnest	ADJ	earnest
glance	NOUN	glance
of	ADP	of
interrogation	NOUN	interrogation
.	PUNCT	.
“	PUNCT	""""
There	PRON	there
has	AUX	have
been	AUX	be
a	DET	a
robbery	NOUN	robbery
here	ADV	here
,	PUNCT	,
”	PUNCT	""""
I	PRON	I
ventured	VERB	venture
.	PUNCT	.
He	PRON	he
nodded	VERB	nod
,	PUNCT	,
and	CCONJ	and
a	DET	a
look	NOUN	look
of	ADP	of
care	NOUN	care
replaced	VERB	replace
the	DET	the
affable	ADJ	affable
expression	NOUN	expression
which	DET	which
a	DET	a
moment	NOUN	moment
before	ADV	before
had	AUX	have
so	ADV	so
agreeably	ADV	agreeably
illumined	VERB	illumine
his	PRON	his
somewhat	ADV	somewhat
stern	ADJ	stern
features	NOUN	feature
.	PUNCT	.
“	PUNCT	""""
Twenty	NUM	twenty
-	PUNCT	-
five	NUM	five
thousand	NUM	thousand
dollars	NOUN	dollar
'	PART	'
worth	NOUN	worth
,	PUNCT	,
”	PUNCT	""""
he	PRON	he
whispered	VERB	whisper
,	PUNCT	,
shortly	ADV	shortly
.	PUNCT	.
“	PUNCT	""""
Mrs.	PROPN	Mrs.
Winchester	PROPN	Winchester
's	PART	's
diamonds	NOUN	diamond
.	PUNCT	.
”	PUNCT	""""
I	PRON	I
started	VERB	start
;	PUNCT	;
not	PART	not
so	ADV	so
much	ADV	much
at	ADP	at
the	DET	the
nature	NOUN	nature
and	CCONJ	and
value	NOUN	value
of	ADP	of
the	DET	the
articles	NOUN	article
stolen	VERB	steal
,	PUNCT	,
as	ADP	as
at	ADP	at
the	DET	the
indefinable	ADJ	indefinable
air	NOUN	air
with	ADP	with
which	DET	which
this	DET	this
announcement	NOUN	announcement
