GRAY	PROPN	GRAY
in	ADP	in
other	ADJ	other
Galaxies	PROPN	Galaxies
,	PUNCT	,
will	AUX	will
undoubtedly	ADV	undoubtedly
acquire	VERB	acquire
it	PRON	it
in	ADP	in
fashions	NOUN	fashion
starkly	ADV	starkly
incomprehensible	ADJ	incomprehensible
to	ADP	to
me	PRON	I
,	PUNCT	,
its	PRON	its
compiler	NOUN	compiler
.	PUNCT	.
Numberless	ADJ	numberless
races	NOUN	race
of	ADP	of
intelligent	ADJ	intelligent
beings	NOUN	being
already	ADV	already
know	VERB	know
Kinnison	PROPN	Kinnison
well	ADV	well
,	PUNCT	,
since	SCONJ	since
his	PRON	his
fame	NOUN	fame
has	AUX	have
spread	VERB	spread
north	NOUN	north
,	PUNCT	,
south	NOUN	south
,	PUNCT	,
east	NOUN	east
,	PUNCT	,
west	NOUN	west
,	PUNCT	,
zenith	NOUN	zenith
and	CCONJ	and
nadir	NOUN	nadir
,	PUNCT	,
to	ADP	to
the	DET	the
six	NUM	six
points	NOUN	point
of	ADP	of
the	DET	the
three	NUM	three
-	PUNCT	-
dimensional	ADJ	dimensional
galactic	ADJ	galactic
-	PUNCT	-
inductor	NOUN	inductor
compasses	NOUN	compass
of	ADP	of
two	NUM	two
galaxies	NOUN	galaxy
.	PUNCT	.
On	ADP	on
the	DET	the
other	ADJ	other
hand	NOUN	hand
,	PUNCT	,
many	ADJ	many
know	VERB	know
him	PRON	he
not	PART	not
at	ADV	at
all	ADV	all
.	PUNCT	.
Many	ADJ	many
have	AUX	have
never	ADV	never
even	ADV	even
heard	VERB	hear
of	ADP	of
Tellus	PROPN	Tellus
,	PUNCT	,
nor	CCONJ	nor
of	ADP	of
Sol	PROPN	Sol
,	PUNCT	,
our	PRON	our
parent	NOUN	parent
sun	NOUN	sun
;	PUNCT	;
even	ADV	even
though	SCONJ	though
it	PRON	it
was	AUX	be
upon	SCONJ	upon
that	DET	that
proud	ADJ	proud
planet	NOUN	planet
of	ADP	of
this	DET	this
,	PUNCT	,
our	PRON	our
Solarian	PROPN	Solarian
System	PROPN	System
,	PUNCT	,
that	PRON	that
the	DET	the
Galactic	PROPN	Galactic
Patrol	PROPN	Patrol
came	VERB	come
into	ADP	into
being	NOUN	being
.	PUNCT	.
Indeed	ADV	indeed
,	PUNCT	,
it	PRON	it
is	AUX	be
inevitable	ADJ	inevitable
that	SCONJ	that
this	DET	this
biography	NOUN	biography
will	AUX	will
in	ADP	in
days	NOUN	day
to	PART	to
come	VERB	come
be	AUX	be
of	ADP	of
interest	NOUN	interest
to	ADP	to
races	NOUN	race
which	DET	which
,	PUNCT	,
inhabiting	VERB	inhabit
planets	NOUN	planet
not	PART	not
yet	ADV	yet
reached	VERB	reach
by	ADP	by
the	DET	the
Cosmic	PROPN	Cosmic
Survey	PROPN	Survey
,	PUNCT	,
have	AUX	have
not	PART	not
even	ADV	even
heard	VERB	hear
of	ADP	of
the	DET	the
Galactic	PROPN	Galactic
Patrol	PROPN	Patrol
,	PUNCT	,
to	PART	to
say	VERB	say
nothing	PRON	nothing
of	ADP	of
knowing	VERB	know
its	PRON	its
origin	NOUN	origin
and	CCONJ	and
its	PRON	its
history	NOUN	history
.	PUNCT	.
In	ADP	in
view	NOUN	view
of	ADP	of
the	DET	the
above	ADJ	above
inescapable	ADJ	inescapable
facts	NOUN	fact
,	PUNCT	,
and	CCONJ	and
after	ADP	after
a	DET	a
great	ADJ	great
deal	NOUN	deal
of	ADP	of
thought	NOUN	thought
and	CCONJ	and
care	NOUN	care
,	PUNCT	,
I	PRON	I
have	AUX	have
decided	VERB	decide
to	PART	to
write	VERB	write
this	DET	this
Prologue	NOUN	prologue
,	PUNCT	,
which	DET	which
will	AUX	will
summarize	VERB	summarize
very	ADV	very
simply	ADV	simply
that	DET	that
which	DET	which
is	AUX	be
already	ADV	already
most	ADV	most
widely	ADV	widely
known	VERB	know
;	PUNCT	;
namely	ADV	namely
,	PUNCT	,
the	DET	the
happenings	NOUN	happening
up	ADP	up
to	ADP	to
and	CCONJ	and
including	VERB	include
the	DET	the
first	ADJ	first
phase	NOUN	phase
of	ADP	of
the	DET	the
Boskonian	ADJ	boskonian
War	NOUN	war
.	PUNCT	.
Even	ADV	even
that	DET	that
condensation	NOUN	condensation
,	PUNCT	,
however	ADV	however
,	PUNCT	,
leaves	VERB	leave
me	PRON	I
all	ADV	all
too	ADV	too
little	ADJ	little
space	NOUN	space
in	ADP	in
which	DET	which
to	PART	to
do	AUX	do
justice	NOUN	justice
to	ADP	to
the	DET	the
part	NOUN	part
that	PRON	that
Kimball	PROPN	Kimball
Kinnison	PROPN	Kinnison
played	VERB	play
in	ADP	in
enabling	VERB	enable
the	DET	the
civilization	NOUN	civilization
of	ADP	of
the	DET	the
Galactic	PROPN	Galactic
Council	PROPN	Council
to	PART	to
triumph	VERB	triumph
over	ADP	over
the	DET	the
monstrous	ADJ	monstrous
culture	NOUN	culture
of	ADP	of
Boskone	PROPN	Boskone
.	PUNCT	.
With	ADP	with
the	DET	the
understanding	NOUN	understanding
,	PUNCT	,
then	ADV	then
,	PUNCT	,
that	SCONJ	that
the	DET	the
more	ADV	more
informed	ADJ	informed
mentality	NOUN	mentality
may	AUX	may
skip	VERB	skip
from	ADP	from
here	ADV	here
to	ADP	to
Chapter	NOUN	chapter
I	NUM	i
,	PUNCT	,
I	PRON	I
proceed	VERB	proceed
.	PUNCT	.
*	PUNCT	*
*	PUNCT	*
*	PUNCT	*
*	PUNCT	*
*	PUNCT	*
Should	AUX	should
I	PRON	I
begin	VERB	begin
with	ADP	with
Arisia	PROPN	Arisia
?	PUNCT	?
That	DET	that
forbidding	ADJ	forbidding
,	PUNCT	,
forbidden	ADJ	forbidden
planet	NOUN	planet
whose	DET	whose
inhabitants	NOUN	inhabitant
,	PUNCT	,
having	VERB	have
achieved	VERB	achieve
sheerly	ADV	sheerly
unimaginable	ADJ	unimaginable
heights	NOUN	height
of	ADP	of
philosophical	ADJ	philosophical
and	CCONJ	and
mental	ADJ	mental
power	NOUN	power
,	PUNCT	,
withdrew	VERB	withdraw
almost	ADV	almost
completely	ADV	completely
into	ADP	into
themselves	PRON	themselves
,	PUNCT	,
leaving	VERB	leave
traces	NOUN	trace
only	ADV	only
in	ADP	in
Galaxy	NOUN	galaxy
-	PUNCT	-
wide	ADJ	wide
folk	NOUN	folk
tales	NOUN	tale
and	CCONJ	and
legends	NOUN	legend
of	ADP	of
supermen	NOUN	superman
and	CCONJ	and
gods	NOUN	god
?	PUNCT	?
Probably	ADV	probably
not	PART	not
.	PUNCT	.
I	PRON	I
should	AUX	should
,	PUNCT	,
it	PRON	it
seems	VERB	seem
to	ADP	to
me	PRON	I
,	PUNCT	,
begin	VERB	begin
with	ADP	with
Earth	PROPN	Earth
's	PART	's
almost	ADV	almost
prehistoric	ADJ	prehistoric
bandits	NOUN	bandit
and	CCONJ	and
gangsters	NOUN	gangster
,	PUNCT	,
gentry	NOUN	gentry
who	PRON	who
flourished	VERB	flourish
in	ADP	in
the	DET	the
days	NOUN	day
when	SCONJ	when
space	NOUN	space
flight	NOUN	flight
was	AUX	be
mentioned	VERB	mention
only	ADV	only
in	ADJ	in
fantastic	ADJ	fantastic
fiction	NOUN	fiction
.	PUNCT	.
Know	VERB	know
,	PUNCT	,
then	ADV	then
,	PUNCT	,
that	SCONJ	that
for	ADP	for
ages	NOUN	age
law	NOUN	law
enforcement	NOUN	enforcement
lagged	VERB	lag
behind	ADP	behind
law	NOUN	law
violation	NOUN	violation
because	SCONJ	because
the	DET	the
minions	NOUN	minion
of	ADP	of
the	DET	the
law	NOUN	law
were	AUX	be
limited	VERB	limit
in	ADP	in
their	PRON	their
spheres	NOUN	sphere
of	ADP	of
action	NOUN	action
,	PUNCT	,
while	SCONJ	while
criminals	NOUN	criminal
were	AUX	be
not	PART	not
.	PUNCT	.
Thus	ADV	thus
,	PUNCT	,
in	ADP	in
the	DET	the
days	NOUN	day
following	VERB	follow
the	DET	the
invention	NOUN	invention
of	ADP	of
the	DET	the
automobile	NOUN	automobile
,	PUNCT	,
State	NOUN	state
troopers	NOUN	trooper
could	AUX	could
not	PART	not
cross	VERB	cross
State	NOUN	state
lines	NOUN	line
.	PUNCT	.
Later	ADV	later
,	PUNCT	,
when	SCONJ	when
what	PRON	what
were	AUX	be
then	ADV	then
known	VERB	know
as	ADP	as
the	DET	the
""""	PUNCT	""""
G	PROPN	G
-	PUNCT	-
men	NOUN	man
""""	PUNCT	""""
combined	VERB	combine
with	ADP	with
the	DET	the
various	ADJ	various
State	NOUN	state
constabularies	NOUN	constabulary
to	PART	to
form	VERB	form
the	DET	the
National	PROPN	National
Police	PROPN	Police
,	PUNCT	,
they	PRON	they
could	AUX	could
not	PART	not
follow	VERB	follow
the	DET	the
stratosphere	NOUN	stratosphere
planes	NOUN	plane
of	ADP	of
the	DET	the
lawbreakers	NOUN	lawbreaker
across	ADP	across
national	ADJ	national
boundaries	NOUN	boundary
.	PUNCT	.
Still	ADV	still
later	ADV	later
,	PUNCT	,
when	SCONJ	when
interplanetary	ADJ	interplanetary
flight	NOUN	flight
became	VERB	become
commonplace	ADJ	commonplace
,	PUNCT	,
the	DET	the
Planetary	PROPN	Planetary
Guards	PROPN	Guards
were	AUX	be
at	ADP	at
the	DET	the
same	ADJ	same
old	ADJ	old
disadvantage	NOUN	disadvantage
.	PUNCT	.
They	PRON	they
had	AUX	have
no	NOUN	no
authority	NOUN	authority
off	ADP	off
their	PRON	their
own	ADJ	own
worlds	NOUN	world
,	PUNCT	,
while	SCONJ	while
the	DET	the
public	ADJ	public
enemies	NOUN	enemy
flitted	VERB	flit
unhampered	ADJ	unhampered
from	ADP	from
planet	NOUN	planet
to	ADP	to
planet	NOUN	planet
.	PUNCT	.
And	CCONJ	and
finally	ADV	finally
,	PUNCT	,
with	ADP	with
the	DET	the
development	NOUN	development
of	ADP	of
the	DET	the
inertialess	ADJ	inertialess
drive	NOUN	drive
and	CCONJ	and
the	DET	the
consequent	ADJ	consequent
traffic	NOUN	traffic
between	ADP	between
hundreds	NOUN	hundred
of	ADP	of
thousands	NOUN	thousand
of	ADP	of
solar	ADJ	solar
systems	NOUN	system
,	PUNCT	,
crime	NOUN	crime
became	VERB	become
so	ADV	so
rampant	ADJ	rampant
as	ADP	as
to	PART	to
threaten	VERB	threaten
the	DET	the
very	ADJ	very
foundations	NOUN	foundation
of	ADP	of
civilization	NOUN	civilization
.	PUNCT	.
Then	ADV	then
the	DET	the
Galactic	PROPN	Galactic
Patrol	PROPN	Patrol
came	VERB	come
into	ADP	into
being	NOUN	being
.	PUNCT	.
At	ADP	at
first	ADV	first
it	PRON	it
was	AUX	be
a	DET	a
pitiful	ADJ	pitiful
-	PUNCT	-
enough	ADV	enough
organization	NOUN	organization
.	PUNCT	.
It	PRON	it
was	AUX	be
handicapped	VERB	handicap
from	ADP	from
within	ADP	within
by	ADP	by
the	DET	the
usual	ADJ	usual
small	ADJ	small
,	PUNCT	,
but	CCONJ	but
utterly	ADV	utterly
disastrous	ADJ	disastrous
percentage	NOUN	percentage
of	ADP	of
grafters	NOUN	grafter
and	CCONJ	and
criminals	NOUN	criminal
;	PUNCT	;
from	ADP	from
without	ADP	without
by	ADP	by
the	DET	the
fact	NOUN	fact
that	SCONJ	that
there	PRON	there
was	AUX	be
then	ADV	then
no	DET	no
emblem	NOUN	emblem
or	NOUN	or
credential	NOUN	credential
which	DET	which
could	AUX	could
not	PART	not
be	AUX	be
counterfeited	VERB	counterfeit
.	PUNCT	.
No	DET	no
one	NOUN	one
