Proofreaders	NOUN	proofreader
.	PUNCT	.
The	DET	the
room	NOUN	room
was	AUX	be
not	PART	not
a	DET	a
large	ADJ	large
one	NUM	one
,	PUNCT	,
but	CCONJ	but
lofty	ADJ	lofty
.	PUNCT	.
Even	ADV	even
in	ADP	in
the	DET	the
semi	NOUN	semi
-	NOUN	-
darkness	NOUN	darkness
of	ADP	of
the	DET	the
very	ADV	very
faint	ADJ	faint
greenish	ADJ	greenish
lustre	NOUN	lustre
radiated	VERB	radiate
from	ADP	from
an	DET	an
open	ADJ	open
censerlike	ADJ	censerlike
_	PUNCT	_
lampas	NOUN	lampas
_	PUNCT	_
of	ADP	of
fretted	ADJ	fretted
gold	NOUN	gold
in	ADP	in
the	DET	the
centre	NOUN	centre
of	ADP	of
the	DET	the
domed	ADJ	domed
encausted	ADJ	encausted
roof	NOUN	roof
,	PUNCT	,
a	DET	a
certain	ADJ	certain
incongruity	NOUN	incongruity
of	ADP	of
barbaric	ADJ	barbaric
gorgeousness	NOUN	gorgeousness
in	ADP	in
the	DET	the
furnishing	NOUN	furnishing
filled	VERB	fill
me	PRON	I
with	ADP	with
amazement	NOUN	amazement
.	PUNCT	.
The	DET	the
air	NOUN	air
was	AUX	be
heavy	ADJ	heavy
with	ADP	with
the	DET	the
scented	ADJ	scented
odour	NOUN	odour
of	ADP	of
this	DET	this
light	NOUN	light
,	PUNCT	,
and	CCONJ	and
the	DET	the
fumes	NOUN	fume
of	ADP	of
the	DET	the
narcotic	NOUN	narcotic
_	X	_
cannabis	NOUN	cannabi
sativa_--the	NOUN	sativa_--the
base	NOUN	base
of	ADP	of
the	DET	the
_	X	_
bhang	NOUN	bhang
_	PUNCT	_
of	ADP	of
the	DET	the
Mohammedans	PROPN	Mohammedans
--	PUNCT	--
in	ADP	in
which	DET	which
I	PRON	I
knew	VERB	know
it	PRON	it
to	PART	to
be	AUX	be
the	DET	the
habit	NOUN	habit
of	ADP	of
my	PRON	my
friend	NOUN	friend
to	PART	to
assuage	VERB	assuage
himself	PRON	himself
.	PUNCT	.
The	DET	the
hangings	NOUN	hanging
were	AUX	be
of	ADP	of
wine	NOUN	wine
-	PUNCT	-
coloured	ADJ	coloured
velvet	NOUN	velvet
,	PUNCT	,
heavy	ADJ	heavy
,	PUNCT	,
gold	NOUN	gold
-	PUNCT	-
fringed	VERB	fringe
and	CCONJ	and
embroidered	VERB	embroider
at	ADP	at
Nurshedabad	PROPN	Nurshedabad
.	PUNCT	.
All	DET	all
the	DET	the
world	NOUN	world
knew	VERB	know
Prince	PROPN	Prince
Zaleski	PROPN	Zaleski
to	PART	to
be	AUX	be
a	DET	a
consummate	ADJ	consummate
_	PUNCT	_
cognoscente_--a	NOUN	cognoscente_--a
profound	ADJ	profound
amateur	NOUN	amateur
--	PUNCT	--
as	ADV	as
well	ADV	well
as	ADP	as
a	DET	a
savant	NOUN	savant
and	CCONJ	and
a	DET	a
thinker	NOUN	thinker
;	PUNCT	;
but	CCONJ	but
I	PRON	I
was	AUX	be
,	PUNCT	,
nevertheless	ADV	nevertheless
,	PUNCT	,
astounded	VERB	astound
at	ADP	at
the	DET	the
mere	ADJ	mere
multitudinousness	NOUN	multitudinousness
of	ADP	of
the	DET	the
curios	NOUN	curio
he	PRON	he
had	AUX	have
contrived	VERB	contrive
to	PART	to
crowd	VERB	crowd
into	ADP	into
the	DET	the
space	NOUN	space
around	ADP	around
him	PRON	he
.	PUNCT	.
Side	NOUN	side
by	ADP	by
side	NOUN	side
rested	VERB	rest
a	DET	a
palaeolithic	ADJ	palaeolithic
implement	NOUN	implement
,	PUNCT	,
a	DET	a
Chinese	ADJ	chinese
'	PUNCT	'
wise	ADJ	wise
man	NOUN	man
,	PUNCT	,
'	PUNCT	'
a	DET	a
Gnostic	ADJ	gnostic
gem	NOUN	gem
,	PUNCT	,
an	DET	an
amphora	NOUN	amphora
of	ADP	of
Graeco	ADJ	graeco
-	PUNCT	-
Etruscan	ADJ	etruscan
work	NOUN	work
.	PUNCT	.
The	DET	the
general	ADJ	general
effect	NOUN	effect
was	AUX	be
a	DET	a
_	PUNCT	_
bizarrerie	NOUN	bizarrerie
_	PUNCT	_
of	ADP	of
half	ADJ	half
-	PUNCT	-
weird	ADJ	weird
