,	PUNCT	,
it	PRON	it
would	AUX	would
be	AUX	be
a	DET	a
fine	ADJ	fine
planet	NOUN	planet
,	PUNCT	,
but	CCONJ	but
at	ADP	at
present	ADJ	present
it	PRON	it
was	AUX	be
undergoing	VERB	undergo
an	DET	an
extensive	ADJ	extensive
glaciation	NOUN	glaciation
.	PUNCT	.
And	CCONJ	and
Irminsul	PROPN	Irminsul
,	PUNCT	,
covered	VERB	cover
with	ADP	with
forests	NOUN	forest
of	ADP	of
gigantic	ADJ	gigantic
trees	NOUN	tree
;	PUNCT	;
it	PRON	it
would	AUX	would
have	AUX	have
been	AUX	be
fine	ADJ	fine
except	SCONJ	except
for	ADP	for
the	DET	the
fauna	NOUN	fauna
,	PUNCT	,
which	DET	which
was	AUX	be
nasty	ADJ	nasty
,	PUNCT	,
especially	ADV	especially
a	DET	a
race	NOUN	race
of	ADP	of
subsapient	ADJ	subsapient
near	ADJ	near
-	PUNCT	-
humanoids	NOUN	humanoid
who	PRON	who
had	AUX	have
just	ADV	just
gotten	VERB	get
as	ADV	as
far	ADV	far
as	ADP	as
clubs	NOUN	club
and	CCONJ	and
_	PUNCT	_
coup	X	coup
-	PUNCT	-
de	X	de
-	PUNCT	-
poing	X	poing
_	PUNCT	_
axes	NOUN	axis
.	PUNCT	.
Contact	NOUN	contact
with	ADP	with
them	PRON	they
had	AUX	have
entailed	VERB	entail
heavy	ADJ	heavy
ammunition	NOUN	ammunition
expenditure	NOUN	expenditure
,	PUNCT	,
with	ADP	with
two	NUM	two
men	NOUN	man
and	CCONJ	and
a	DET	a
woman	NOUN	woman
killed	VERB	kill
and	CCONJ	and
a	DET	a
dozen	NOUN	dozen
injured	VERB	injure
.	PUNCT	.
He	PRON	he
'd	AUX	have
had	AUX	have
a	DET	a
limp	NOUN	limp
,	PUNCT	,
himself	PRON	himself
,	PUNCT	,
for	ADP	for
a	DET	a
while	NOUN	while
as	ADP	as
a	DET	a
result	NOUN	result
.	PUNCT	.
As	ADP	as
for	ADP	for
the	DET	the
other	ADJ	other
five	NUM	five
,	PUNCT	,
one	NUM	one
had	AUX	have
been	AUX	be
an	DET	an
all	ADV	all
-	PUNCT	-
out	ADJ	out
hell	NOUN	hell
-	PUNCT	-
planet	NOUN	planet
,	PUNCT	,
and	CCONJ	and
the	DET	the
rest	NOUN	rest
had	AUX	have
been	AUX	be
the	DET	the
sort	NOUN	sort
that	PRON	that
get	VERB	get
colonized	VERB	colonize
by	ADP	by
irreconcilable	ADJ	irreconcilable
minority	NOUN	minority
-	PUNCT	-
groups	NOUN	group
who	PRON	who
want	VERB	want
to	PART	to
get	VERB	get
away	ADV	away
from	ADP	from
everybody	PRON	everybody
else	ADV	else
.	PUNCT	.
The	DET	the
Colonial	PROPN	Colonial
Office	PROPN	Office
would	AUX	would
n't	PART	not
even	ADV	even
consider	VERB	consider
any	DET	any
of	ADP	of
them	PRON	they
.	PUNCT	.
Then	ADV	then
they	PRON	they
had	AUX	have
found	VERB	find
this	DET	this
one	NUM	one
,	PUNCT	,
third	ADJ	third
of	ADP	of
a	DET	a
G0	NOUN	g0
-	PUNCT	-
star	NOUN	star
,	PUNCT	,
eighty	NUM	eighty
million	NUM	million
miles	NOUN	mile
from	ADP	from
primary	ADJ	primary
,	PUNCT	,
less	ADJ	less
axial	ADJ	axial
inclination	NOUN	inclination
than	ADP	than
Terra	PROPN	Terra
,	PUNCT	,
which	DET	which
would	AUX	would
mean	VERB	mean
a	DET	a
more	ADV	more
uniform	ADJ	uniform
year	NOUN	year
-	PUNCT	-
round	ADJ	round
temperature	NOUN	temperature
,	PUNCT	,
and	CCONJ	and
about	ADP	about
half	ADJ	half
land	NOUN	land
surface	NOUN	surface
.	PUNCT	.
On	ADP	on
the	DET	the
evidence	NOUN	evidence
of	ADP	of
a	DET	a
couple	NOUN	couple
of	ADP	of
sneak	NOUN	sneak
landings	NOUN	landing
for	NOUN	for
specimens	NOUN	specimen
,	PUNCT	,
the	DET	the
biochemistry	NOUN	biochemistry
was	AUX	be
identical	ADJ	identical
with	ADP	with
Terra	PROPN	Terra
's	PART	's
and	CCONJ	and
the	DET	the
organic	ADJ	organic
matter	NOUN	matter
was	AUX	be
edible	ADJ	edible
.	PUNCT	.
It	PRON	it
was	AUX	be
the	DET	the
sort	NOUN	sort
of	ADP	of
planet	NOUN	planet
every	DET	every
explorer	NOUN	explorer
dreams	VERB	dream
of	ADP	of
finding	VERB	find
,	PUNCT	,
except	SCONJ	except
for	ADP	for
one	NUM	one
thing	NOUN	thing
.	PUNCT	.
It	PRON	it
was	AUX	be
inhabited	VERB	inhabit
by	ADP	by
a	DET	a
sapient	ADJ	sapient
humanoid	ADJ	humanoid
race	NOUN	race
,	PUNCT	,
and	CCONJ	and
some	DET	some
of	ADP	of
them	PRON	they
were	AUX	be
civilized	ADJ	civilized
enough	ADV	enough
to	PART	to
put	VERB	put
it	PRON	it
in	ADP	in
Class	PROPN	Class
V	PROPN	V
,	PUNCT	,
and	CCONJ	and
Colonial	PROPN	Colonial
Office	PROPN	Office
doctrine	NOUN	doctrine
on	ADP	on
Class	NOUN	class
V	PROPN	V
planets	NOUN	planet
was	AUX	be
rigid	ADJ	rigid
.	PUNCT	.
Friendly	ADJ	friendly
relations	NOUN	relation
with	ADP	with
the	DET	the
natives	NOUN	native
had	AUX	have
to	PART	to
be	AUX	be
established	VERB	establish
,	PUNCT	,
and	CCONJ	and
permission	NOUN	permission
to	PART	to
settle	VERB	settle
