Supertales	PROPN	Supertales
hair	NOUN	hair
.	PUNCT	.
It	PRON	it
was	AUX	be
abundant	ADJ	abundant
and	CCONJ	and
nut	NOUN	nut
-	PUNCT	-
brown	ADJ	brown
,	PUNCT	,
and	CCONJ	and
artfully	ADV	artfully
and	CCONJ	and
scrupulously	ADV	scrupulously
interwoven	VERB	interweave
and	CCONJ	and
twisted	VERB	twist
together	ADV	together
.	PUNCT	.
It	PRON	it
seemed	VERB	seem
to	PART	to
stand	VERB	stand
the	DET	the
solitary	ADJ	solitary
pride	NOUN	pride
of	ADP	of
a	DET	a
life	NOUN	life
claiming	VERB	claim
few	ADJ	few
things	NOUN	thing
of	ADP	of
which	DET	which
to	PART	to
be	AUX	be
proud	ADJ	proud
.	PUNCT	.
Blake	PROPN	Blake
remembered	VERB	remember
how	SCONJ	how
that	DET	that
wealth	NOUN	wealth
of	ADP	of
nut	NOUN	nut
-	PUNCT	-
brown	ADJ	brown
hair	NOUN	hair
was	AUX	be
daily	ADV	daily
plaited	VERB	plait
and	CCONJ	and
treasured	VERB	treasure
and	CCONJ	and
coiled	VERB	coil
and	CCONJ	and
cared	VERB	care
for	ADP	for
,	PUNCT	,
the	DET	the
meticulous	ADJ	meticulous
attentiveness	NOUN	attentiveness
with	ADP	with
which	DET	which
morning	NOUN	morning
by	ADP	by
morning	NOUN	morning
its	PRON	its
hip	NOUN	hip
-	PUNCT	-
reaching	NOUN	reaching
abundance	NOUN	abundance
was	AUX	be
braided	VERB	braid
and	CCONJ	and
twisted	VERB	twist
and	CCONJ	and
built	VERB	build
up	ADP	up
about	ADP	about
the	DET	the
small	ADJ	small
head	NOUN	head
,	PUNCT	,
an	DET	an
intricate	ADJ	intricate
structure	NOUN	structure
of	ADP	of
soft	ADJ	soft
wonder	NOUN	wonder
which	DET	which
midnight	NOUN	midnight
must	AUX	must
ever	ADV	ever
see	VERB	see
again	ADV	again
in	ADP	in
ruins	NOUN	ruin
,	PUNCT	,
just	ADV	just
as	ADP	as
the	DET	the
next	ADJ	next
morning	NOUN	morning
would	AUX	would
find	VERB	find
idly	ADV	idly
laborious	ADJ	laborious
fingers	NOUN	finger
rebuilding	VERB	rebuild
its	PRON	its
ephemeral	ADJ	ephemeral
glories	NOUN	glory
.	PUNCT	.
This	DET	this
rebuilding	NOUN	rebuilding
was	AUX	be
done	VERB	do
thoughtfully	ADV	thoughtfully
and	CCONJ	and
calmly	ADV	calmly
,	PUNCT	,
as	ADP	as
though	SCONJ	though
it	PRON	it
were	AUX	be
a	DET	a
religious	ADJ	religious
rite	NOUN	rite
,	PUNCT	,
as	ADP	as
though	SCONJ	though
it	PRON	it
were	AUX	be
a	DET	a
sacrificial	ADJ	sacrificial
devotion	NOUN	devotion
to	ADP	to
an	DET	an
ideal	NOUN	ideal
in	ADP	in
a	DET	a
life	NOUN	life
tragically	ADV	tragically
forlorn	ADJ	forlorn
of	ADP	of
beauty	NOUN	beauty
.	PUNCT	.
He	PRON	he
remembered	VERB	remember
,	PUNCT	,
too	ADV	too
,	PUNCT	,
the	DET	the
day	NOUN	day
when	SCONJ	when
he	PRON	he
had	AUX	have
first	ADV	first
seen	VERB	see
her	PRON	she
.	PUNCT	.
That	DET	that
was	AUX	be
at	ADP	at
the	DET	the
time	NOUN	time
of	ADP	of
""""	PUNCT	""""
The	DET	the
Sick	ADJ	sick
Millionaire	PROPN	Millionaire
""""	PUNCT	""""
case	NOUN	case
,	PUNCT	,
when	SCONJ	when
he	PRON	he
had	AUX	have
first	ADV	first
learned	VERB	learn
of	ADP	of
her	PRON	her
association	NOUN	association
with	ADP	with
Binhart	PROPN	Binhart
.	PUNCT	.
She	PRON	she
had	AUX	have
posed	VERB	pose
at	ADP	at
the	DET	the
Waldorf	PROPN	Waldorf
as	ADP	as
a	DET	a
trained	VERB	train
nurse	NOUN	nurse
,	PUNCT	,
in	ADP	in
that	DET	that
case	NOUN	case
,	PUNCT	,
and	CCONJ	and
had	AUX	have
met	VERB	meet
him	PRON	he
and	CCONJ	and
held	VERB	hold
him	PRON	he
off	ADP	off
and	CCONJ	and
outwitted	VERB	outwit
him	PRON	he
at	ADP	at
every	DET	every
turn	NOUN	turn
.	PUNCT	.
Then	ADV	then
he	PRON	he
had	AUX	have
decided	VERB	decide
on	ADP	on
his	PRON	his
""""	PUNCT	""""
plant	NOUN	plant
.	PUNCT	.
""""	PUNCT	""""
To	PART	to
effect	VERB	effect
this	DET	this
he	PRON	he
had	AUX	have
whisked	VERB	whisk
a	DET	a
young	ADJ	young
Italian	PROPN	Italian
with	ADP	with
a	DET	a
lacerated	VERB	lacerate
thumb	NOUN	thumb
up	ADP	up
from	ADP	from
the	DET	the
City	PROPN	City
Hospital	PROPN	Hospital
and	CCONJ	and
sent	VERB	send
him	PRON	he
in	ADP	in
to	ADP	to
her	PRON	she
as	ADP	as
an	DET	an
injured	VERB	injure
elevator	NOUN	elevator
-	PUNCT	-
boy	NOUN	boy
looking	VERB	look
for	ADP	for
first	ADJ	first
-	PUNCT	-
aid	NOUN	aid
treatment	NOUN	treatment
.	PUNCT	.
One	NUM	one
glimpse	NOUN	glimpse
of	ADP	of
her	PRON	her
work	NOUN	work
on	ADP	on
that	DET	that
thumb	NOUN	thumb
showed	VERB	show
her	PRON	she
to	PART	to
be	AUX	be
betrayingly	ADV	betrayingly
ignorant	ADJ	ignorant
of	ADP	of
both	CCONJ	both
figure	NOUN	figure
-	PUNCT	-
of	ADP	of
-	PUNCT	-
eight	NUM	eight
and	CCONJ	and
spica	NOUN	spica
bandaging	NOUN	bandaging
,	PUNCT	,
and	CCONJ	and
Blake	PROPN	Blake
,	PUNCT	,
finally	ADV	finally
satisfied	ADJ	satisfied
as	ADP	as
to	ADP	to
the	DET	the
imposture	NOUN	imposture
,	PUNCT	,
carried	VERB	carry
on	ADP	on
his	PRON	his
investigation	NOUN	investigation
,	PUNCT	,
showed	VERB	show
""""	PUNCT	""""
Doctor	PROPN	Doctor
Callahan	PROPN	Callahan
""""	PUNCT	""""
to	PART	to
be	AUX	be
Connie	PROPN	Connie
Binhart	PROPN	Binhart
,	PUNCT	,
the	DET	the
con	NOUN	con
-	PUNCT	-
man	NOUN	man
and	CCONJ	and
bank	NOUN	bank
thief	NOUN	thief
,	PUNCT	,
and	CCONJ	and
sent	VERB	send
the	DET	the
two	NUM	two
adventurers	NOUN	adventurer
scurrying	VERB	scurry
away	ADV	away
to	ADP	to
shelter	NOUN	shelter
.	PUNCT	.
He	PRON	he
remembered	VERB	remember
,	PUNCT	,
too	ADV	too
,	PUNCT	,
how	SCONJ	how
seven	NUM	seven
months	NOUN	month
after	ADP	after
that	DET	that
first	ADJ	first
meeting	NOUN	meeting
Stimson	PROPN	Stimson
of	ADP	of
the	DET	the
Central	PROPN	Central
Office	PROPN	Office
had	AUX	have
brought	VERB	bring
her	PRON	she
to	ADP	to
Headquarters	PROPN	Headquarters
,	PUNCT	,
fresh	ADJ	fresh
from	ADP	from
Paris	PROPN	Paris
,	PUNCT	,
involved	VERB	involve
in	ADP	in
some	DET	some
undecipherable	ADJ	undecipherable
way	NOUN	way
in	ADP	in
an	DET	an
Aix	PROPN	Aix
-	PUNCT	-
les	PROPN	les
-	PUNCT	-
Bains	PROPN	Bains
diamond	NOUN	diamond
robbery	NOUN	robbery
.	PUNCT	.
The	DET	the
despatches	NOUN	despatch
had	AUX	have
given	VERB	give
his	PRON	his
office	NOUN	office
very	ADV	very
little	ADJ	little
to	PART	to
work	VERB	work
on	ADP	on
,	PUNCT	,
and	CCONJ	and
she	PRON	she
had	AUX	have
smiled	VERB	smile
at	ADP	at
his	PRON	his
thunderous	ADJ	thunderous
grillings	NOUN	grilling
and	CCONJ	and
defied	VERB	defy
his	PRON	his
noisy	ADJ	noisy
threats	NOUN	threat
.	PUNCT	.
But	CCONJ	but
as	ADP	as
she	PRON	she
sat	VERB	sit
there	ADV	there
before	ADP	before
him	PRON	he
,	PUNCT	,
chic	ADJ	chic
and	CCONJ	and
guarded	ADJ	guarded
,	PUNCT	,
with	ADP	with
her	PRON	her
girlishly	ADV	girlishly
frail	ADJ	frail
body	NOUN	body
so	ADV	so
arrogantly	ADV	arrogantly
well	ADV	well
gowned	VERB	gown
,	PUNCT	,
she	PRON	she
had	AUX	have
in	ADP	in
some	DET	some
way	NOUN	way
touched	VERB	touch
his	PRON	his
lethargic	ADJ	lethargic
imagination	NOUN	imagination
.	PUNCT	.
She	PRON	she
showed	VERB	show
herself	PRON	herself
to	PART	to
be	AUX	be
of	ADP	of
finer	ADJ	fine
and	CCONJ	and
keener	ADJ	keen
fiber	NOUN	fiber
than	ADP	than
the	DET	the
sordid	ADJ	sordid
demireps	NOUN	demirep
with	ADP	with
whom	PRON	whom
he	PRON	he
had	AUX	have
to	PART	to
do	AUX	do
.	PUNCT	.
Shimmering	VERB	shimmer
and	CCONJ	and
saucy	ADJ	saucy
and	CCONJ	and
debonair	ADJ	debonair
as	ADP	as
a	DET	a
polo	NOUN	polo
pony	NOUN	pony
,	PUNCT	,
she	PRON	she
had	AUX	have
seemed	VERB	seem
a	DET	a
departure	ADJ	departure
from	ADP	from
type	NOUN	type
,	PUNCT	,
something	PRON	something
above	ADP	above
the	DET	the
meretricious	ADJ	meretricious
termagants	NOUN	termagant
round	ADP	round
whom	PRON	whom
he	PRON	he
so	ADV	so
often	ADV	often
had	AUX	have
to	PART	to
weave	VERB	weave
his	PRON	his
accusatory	ADJ	accusatory
webs	NOUN	web
of	ADP	of
evidence	NOUN	evidence
.	PUNCT	.
Then	ADV	then
,	PUNCT	,
the	DET	the
following	ADJ	following
autumn	NOUN	autumn
,	PUNCT	,
she	PRON	she
was	AUX	be
still	ADV	still
again	ADV	again
mysteriously	ADV	mysteriously
involved	VERB	involve
in	ADP	in
the	DET	the
Sheldon	PROPN	Sheldon
wire	NOUN	wire
-	PUNCT	-
tapping	VERB	tap
coup	NOUN	coup
.	PUNCT	.
This	DET	this
Montreal	PROPN	Montreal
banker	NOUN	banker
named	VERB	name
Sheldon	PROPN	Sheldon
,	PUNCT	,
from	ADP	from
whom	PRON	whom
nearly	ADV	nearly
two	NUM	two
hundred	NUM	hundred
thousand	NUM	thousand
dollars	NOUN	dollar
had	AUX	have
been	AUX	be
wrested	VERB	wrest
,	PUNCT	,
put	VERB	put
a	DET	a
bullet	NOUN	bullet
through	ADP	through
his	PRON	his
head	NOUN	head
rather	ADV	rather
than	ADP	than
go	VERB	go
home	ADV	home
disgraced	ADJ	disgraced
,	PUNCT	,
and	CCONJ	and
she	PRON	she
had	AUX	have
straightway	ADV	straightway
been	AUX	be
brought	VERB	bring
down	ADP	down
to	ADP	to
Blake	PROPN	Blake
,	PUNCT	,
for	ADP	for
,	PUNCT	,
until	ADP	until
the	DET	the
autopsy	NOUN	autopsy
and	CCONJ	and
the	DET	the
production	NOUN	production
of	ADP	of
her	PRON	her
dupe	NOUN	dupe
's	PART	's
letters	NOUN	letter
,	PUNCT	,
Sheldon	PROPN	Sheldon
's	PART	's
death	NOUN	death
had	AUX	have
been	AUX	be
looked	VERB	look
upon	SCONJ	upon
as	ADP	as
a	DET	a
murder	NOUN	murder
.	PUNCT	.
Blake	PROPN	Blake
had	AUX	have
locked	VERB	lock
himself	PRON	himself
in	ADP	in
with	ADP	with
the	DET	the
white	ADJ	white
-	PUNCT	-
faced	ADJ	faced
Miss	PROPN	Miss
Elsie	PROPN	Elsie
Verriner	PROPN	Verriner
,	PUNCT	,
alias	X	alias
Chaddy	PROPN	Chaddy
Cravath	PROPN	Cravath
,	PUNCT	,
alias	NOUN	alias
Charlotte	PROPN	Charlotte
Carruthers	PROPN	Carruthers
,	PUNCT	,
and	CCONJ	and
for	ADP	for
three	NUM	three
long	ADJ	long
hours	NOUN	hour
he	PRON	he
had	AUX	have
pitted	VERB	pit
his	PRON	his
dynamic	ADJ	dynamic
brute	ADJ	brute
force	NOUN	force
against	ADP	against
her	PRON	her
flashing	VERB	flash
and	CCONJ	and
snake	NOUN	snake
-	PUNCT	-
like	ADJ	like
evasiveness	NOUN	evasiveness
.	PUNCT	.
He	PRON	he
had	AUX	have
pounded	VERB	pound
her	PRON	she
with	ADP	with
the	DET	the
artillery	NOUN	artillery
of	ADP	of
his	PRON	his
inhumanities	NOUN	inhumanity
.	PUNCT	.
He	PRON	he
had	AUX	have
beleaguered	VERB	beleaguer
her	PRON	she
with	ADP	with
explosive	ADJ	explosive
brutishness	NOUN	brutishness
.	PUNCT	.
He	PRON	he
had	AUX	have
bulldozed	VERB	bulldoze
and	CCONJ	and
harried	VERB	harry
her	PRON	she
into	ADP	into
frantic	ADJ	frantic
weariness	NOUN	weariness
.	PUNCT	.
He	PRON	he
had	AUX	have
third	ADV	third
-	PUNCT	-
degreed	VERB	degree
her	PRON	she
into	ADP	into
cowering	VERB	cower
and	CCONJ	and
trembling	ADJ	trembling
indignation	NOUN	indignation
,	PUNCT	,
into	ADP	into
hectic	ADJ	hectic
mental	ADJ	mental
uncertainties	NOUN	uncertainty
.	PUNCT	.
Then	ADV	then
,	PUNCT	,
with	ADP	with
the	DET	the
fatigue	NOUN	fatigue
point	NOUN	point
well	ADV	well
passed	VERB	pass
,	PUNCT	,
he	PRON	he
had	AUX	have
marshaled	VERB	marshal
the	DET	the
last	ADJ	last
of	ADP	of
his	PRON	his
own	ADJ	own
animal	NOUN	animal
strength	NOUN	strength
and	CCONJ	and
essayed	VERB	essay
the	DET	the
final	ADJ	final
blasphemous	ADJ	blasphemous
Vesuvian	ADJ	vesuvian
onslaught	NOUN	onslaught
that	PRON	that
brought	VERB	bring
about	ADP	about
the	DET	the
nervous	ADJ	nervous
breakdown	NOUN	breakdown
,	PUNCT	,
the	DET	the
ultimate	ADJ	ultimate
collapse	NOUN	collapse
.	PUNCT	.
She	PRON	she
had	AUX	have
wept	VERB	weep
,	PUNCT	,
then	ADV	then
,	PUNCT	,
the	DET	the
blubbering	VERB	blubber
,	PUNCT	,
loose	ADJ	loose
-	PUNCT	-
lipped	ADJ	lipped
,	PUNCT	,
abandoned	VERB	abandon
weeping	NOUN	weeping
of	ADP	of
hysteria	NOUN	hysteria
.	PUNCT	.
She	PRON	she
had	AUX	have
stumbled	VERB	stumble
forward	ADV	forward
and	CCONJ	and
caught	VERB	catch
at	ADP	at
his	PRON	his
arm	NOUN	arm
and	CCONJ	and
clung	VERB	cling
to	ADP	to
it	PRON	it
,	PUNCT	,
as	ADP	as
though	SCONJ	though
it	PRON	it
were	AUX	be
her	PRON	her
last	ADJ	last
earthly	ADJ	earthly
pillar	NOUN	pillar
of	ADP	of
support	NOUN	support
.	PUNCT	.
Her	PRON	her
huge	ADJ	huge
plaited	ADJ	plaited
ropes	NOUN	rope
of	ADP	of
hair	NOUN	hair
had	AUX	have
fallen	VERB	fall
down	ADV	down
,	PUNCT	,
thick	ADJ	thick
brown	ADJ	brown
ropes	NOUN	rope
longer	ADJ	long
than	ADP	than
his	PRON	his
own	ADJ	own
arms	NOUN	arm
,	PUNCT	,
and	CCONJ	and
he	PRON	he
,	PUNCT	,
breathing	VERB	breathe
hard	ADV	hard
,	PUNCT	,
had	AUX	have
sat	VERB	sit
back	ADV	back
and	CCONJ	and
watched	VERB	watch
them	PRON	they
as	ADP	as
she	PRON	she
wept	VERB	weep
.	PUNCT	.
But	CCONJ	but
Blake	PROPN	Blake
was	AUX	be
neither	CCONJ	neither
analytical	ADJ	analytical
nor	CCONJ	nor
introspective	ADJ	introspective
.	PUNCT	.
How	SCONJ	how
it	PRON	it
came	VERB	come
about	ADP	about
he	PRON	he
never	ADV	never
quite	ADV	quite
knew	VERB	know
.	PUNCT	.
He	PRON	he
felt	VERB	feel
,	PUNCT	,
after	ADP	after
his	PRON	his
blind	ADJ	blind
and	CCONJ	and
inarticulate	ADJ	inarticulate
fashion	NOUN	fashion
,	PUNCT	,
that	SCONJ	that
this	DET	this
scene	NOUN	scene
of	ADP	of
theirs	PRON	theirs
,	PUNCT	,
that	SCONJ	that
this	DET	this
official	ADJ	official
assault	NOUN	assault
and	CCONJ	and
surrender	NOUN	surrender
,	PUNCT	,
was	AUX	be
in	ADP	in
some	DET	some
way	NOUN	way
associated	VERB	associate
with	ADP	with
the	DET	the
climacteric	ADJ	climacteric
transports	NOUN	transport
of	ADP	of
camp	NOUN	camp
-	PUNCT	-
meeting	NOUN	meeting
evangelism	NOUN	evangelism
,	PUNCT	,
that	SCONJ	that
it	PRON	it
involved	VERB	involve
strange	ADJ	strange
nerve	NOUN	nerve
-	PUNCT	-
centers	NOUN	center
touched	VERB	touch
on	ADP	on
in	ADP	in
rhapsodic	ADJ	rhapsodic
religions	NOUN	religion
,	PUNCT	,
that	SCONJ	that
it	PRON	it
might	AUX	might
even	ADV	even
resemble	VERB	resemble
the	DET	the
final	ADJ	final
emotional	ADJ	emotional
surrender	NOUN	surrender
of	ADP	of
reluctant	ADJ	reluctant
love	NOUN	love
itself	PRON	itself
to	ADP	to
the	DET	the
first	ADJ	first
aggressive	ADJ	aggressive
tides	NOUN	tide
of	ADP	of
passion	NOUN	passion
.	PUNCT	.
What	PRON	what
it	PRON	it
was	AUX	be
based	VERB	base
on	ADP	on
,	PUNCT	,
what	PRON	what
it	PRON	it
arose	VERB	arise
from	ADP	from
,	PUNCT	,
he	PRON	he
could	AUX	could
not	PART	not
say	VERB	say
.	PUNCT	.
But	CCONJ	but
in	ADP	in
the	DET	the
flood	NOUN	flood
-	PUNCT	-
tide	NOUN	tide
of	ADP	of
his	PRON	his
own	ADJ	own
tumultuous	ADJ	tumultuous
conquest	NOUN	conquest
he	PRON	he
had	AUX	have
watched	VERB	watch
her	PRON	she
abandoned	VERB	abandon
weeping	NOUN	weeping
and	CCONJ	and
her	PRON	her
tumbled	VERB	tumble
brown	ADJ	brown
hair	NOUN	hair
.	PUNCT	.
And	CCONJ	and
as	ADP	as
he	PRON	he
watched	VERB	watch
,	PUNCT	,
a	DET	a
vague	ADJ	vague
and	CCONJ	and
troubling	ADJ	troubling
