[	PUNCT	[
FIELDS	PROPN	FIELDS
,	PUNCT	,
in	ADP	in
the	DET	the
Clerk	PROPN	Clerk
's	PART	's
Office	PROPN	Office
of	ADP	of
the	DET	the
District	PROPN	District
Court	PROPN	Court
of	ADP	of
the	DET	the
District	PROPN	District
of	ADP	of
Massachusetts	PROPN	Massachusetts
.	PUNCT	.
Entered	VERB	enter
according	VERB	accord
to	ADP	to
Act	PROPN	Act
of	ADP	of
Congress	PROPN	Congress
,	PUNCT	,
in	ADP	in
the	DET	the
your	PRON	your
1888	NUM	1888
,	PUNCT	,
BY	ADP	by
J.	PROPN	J.
STILMAN	PROPN	STILMAN
SMITH	PROPN	SMITH
&	CCONJ	&
COMPANY	PROPN	COMPANY
in	ADP	in
the	DET	the
Office	PROPN	Office
of	ADP	of
the	DET	the
Librarian	PROPN	Librarian
of	ADP	of
Congress	PROPN	Congress
at	ADP	at
Washington	PROPN	Washington
.	PUNCT	.
Copyright	NOUN	copyright
,	PUNCT	,
1891	NUM	1891
,	PUNCT	,
1897	NUM	1897
,	PUNCT	,
1900	NUM	1900
,	PUNCT	,
1904	NUM	1904
,	PUNCT	,
BY	ADP	by
EDWARD	PROPN	EDWARD
E.	PROPN	E.
HALE	PROPN	HALE
.	PUNCT	.
Copyright	NOUN	copyright
,	PUNCT	,
1898	NUM	1898
,	PUNCT	,
1905	NUM	1905
,	PUNCT	,
BY	ADP	by
LITTLE	PROPN	LITTLE
,	PUNCT	,
BROWN	PROPN	BROWN
,	PUNCT	,
&	CCONJ	&
COMPANY	PROPN	COMPANY
.	PUNCT	.
_	PUNCT	_
All	DET	all
rights	NOUN	right
reserved	VERB	reserve
_	PUNCT	_
.	PUNCT	.
PRINTED	VERB	print
IN	ADP	in
THE	DET	the
UNITED	PROPN	UNITED
STATES	PROPN	STATES
OF	ADP	of
AMERICA	PROPN	AMERICA
Introduction	NOUN	introduction
Love	NOUN	love
of	ADP	of
country	NOUN	country
is	AUX	be
a	DET	a
sentiment	NOUN	sentiment
so	ADV	so
universal	ADJ	universal
that	SCONJ	that
it	PRON	it
is	AUX	be
only	ADV	only
on	ADP	on
such	ADJ	such
rare	NOUN	rare
occasions	NOUN	occasion
as	ADP	as
called	VERB	call
this	DET	this
book	NOUN	book
into	ADP	into
being	NOUN	being
that	SCONJ	that
there	PRON	there
is	AUX	be
any	DET	any
need	NOUN	need
of	ADP	of
discussing	VERB	discuss
it	PRON	it
or	CCONJ	or
justifying	VERB	justify
it	PRON	it
.	PUNCT	.
There	PRON	there
is	AUX	be
a	DET	a
perfectly	ADV	perfectly
absurd	ADJ	absurd
statement	NOUN	statement
by	ADP	by
Charles	PROPN	Charles
Kingsley	PROPN	Kingsley
,	PUNCT	,
in	ADP	in
the	DET	the
preface	NOUN	preface
to	ADP	to
one	NUM	one
of	ADP	of
his	PRON	his
books	NOUN	book
,	PUNCT	,
written	VERB	write
fifty	NUM	fifty
years	NOUN	year
ago	ADV	ago
,	PUNCT	,
in	ADP	in
which	DET	which
he	PRON	he
says	VERB	say
that	SCONJ	that
,	PUNCT	,
while	SCONJ	while
there	PRON	there
can	AUX	can
be	AUX	be
loyalty	NOUN	loyalty
to	ADP	to
a	DET	a
king	NOUN	king
or	CCONJ	or
a	DET	a
queen	NOUN	queen
,	PUNCT	,
there	PRON	there
can	AUX	can
not	PART	not
be	AUX	be
loyalty	NOUN	loyalty
to	ADP	to
one	PRON	one
's	PART	's
country	NOUN	country
.	PUNCT	.
This	DET	this
story	NOUN	story
of	ADP	of
Philip	PROPN	Philip
Nolan	PROPN	Nolan
was	AUX	be
written	VERB	write
in	ADP	in
the	DET	the
darkest	ADJ	dark
period	NOUN	period
of	ADP	of
the	DET	the
Civil	PROPN	Civil
War	PROPN	War
,	PUNCT	,
to	PART	to
show	VERB	show
what	PRON	what
love	NOUN	love
of	ADP	of
country	NOUN	country
is	AUX	be
.	PUNCT	.
There	PRON	there
were	AUX	be
persons	NOUN	person
then	ADV	then
who	PRON	who
thought	VERB	think
that	SCONJ	that
if	SCONJ	if
their	PRON	their
advice	NOUN	advice
had	AUX	have
been	AUX	be
taken	VERB	take
there	PRON	there
need	AUX	need
have	AUX	have
been	AUX	be
no	DET	no
Civil	PROPN	Civil
War	PROPN	War
.	PUNCT	.
There	PRON	there
were	AUX	be
persons	NOUN	person
whose	DET	whose
every	DET	every
-	PUNCT	-
day	NOUN	day
pursuits	NOUN	pursuit
were	AUX	be
greatly	VERB	greatly
deranged	VERB	derange
by	ADP	by
the	DET	the
Civil	PROPN	Civil
War	PROPN	War
.	PUNCT	.
It	PRON	it
proved	VERB	prove
that	SCONJ	that
the	DET	the
lesson	NOUN	lesson
was	AUX	be
a	DET	a
lesson	NOUN	lesson
gladly	ADV	gladly
received	VERB	receive
.	PUNCT	.
I	PRON	I
have	AUX	have
had	AUX	have
letters	NOUN	letter
from	ADP	from
seamen	NOUN	seaman
who	PRON	who
read	VERB	read
it	PRON	it
as	ADP	as
they	PRON	they
were	AUX	be
lying	VERB	lie
in	ADP	in
our	PRON	our
blockade	NOUN	blockade
squadrons	NOUN	squadron
off	ADP	off
the	DET	the
mouths	NOUN	mouth
of	ADP	of
Southern	ADJ	southern
harbors	NOUN	harbor
.	PUNCT	.
I	PRON	I
have	AUX	have
had	AUX	have
letters	NOUN	letter
from	ADP	from
men	NOUN	man
who	PRON	who
read	VERB	read
it	PRON	it
soon	ADV	soon
after	ADP	after
the	DET	the
Vicksburg	PROPN	Vicksburg
campaign	NOUN	campaign
.	PUNCT	.
And	CCONJ	and
in	ADP	in
other	ADJ	other
ways	NOUN	way
I	PRON	I
have	AUX	have
had	AUX	have
many	ADJ	many
illustrations	NOUN	illustration
of	ADP	of
its	PRON	its
having	VERB	have
been	AUX	be
of	ADP	of
use	NOUN	use
in	ADP	in
what	PRON	what
I	PRON	I
have	AUX	have
a	DET	a
right	NOUN	right
to	PART	to
call	VERB	call
the	DET	the
darkest	ADJ	dark
period	NOUN	period
of	ADP	of
the	DET	the
Republic	PROPN	Republic
.	PUNCT	.
To	ADP	to
-	PUNCT	-
day	NOUN	day
we	PRON	we
are	AUX	be
not	PART	not
in	ADP	in
the	DET	the
darkest	ADJ	dark
period	NOUN	period
of	ADP	of
the	DET	the
Republic	PROPN	Republic
.	PUNCT	.
This	DET	this
nation	NOUN	nation
never	ADV	never
wishes	VERB	wish
to	PART	to
make	VERB	make
war	NOUN	war
.	PUNCT	.
Our	PRON	our
whole	ADJ	whole
policy	NOUN	policy
is	AUX	be
a	DET	a
policy	NOUN	policy
of	ADP	of
peace	NOUN	peace
,	PUNCT	,
and	CCONJ	and
peace	NOUN	peace
is	AUX	be
the	DET	the
protection	NOUN	protection
of	ADP	of
the	DET	the
Christian	ADJ	christian
civilization	NOUN	civilization
to	PART	to
which	DET	which
we	PRON	we
are	AUX	be
pledged	VERB	pledge
.	PUNCT	.
It	PRON	it
is	AUX	be
always	ADV	always
desirable	ADJ	desirable
to	PART	to
teach	VERB	teach
young	ADJ	young
men	NOUN	man
and	CCONJ	and
young	ADJ	young
women	NOUN	woman
,	PUNCT	,
and	CCONJ	and
old	ADJ	old
men	NOUN	man
and	CCONJ	and
old	ADJ	old
women	NOUN	woman
,	PUNCT	,
and	CCONJ	and
all	DET	all
sorts	NOUN	sort
of	ADP	of
people	NOUN	people
,	PUNCT	,
to	PART	to
understand	VERB	understand
what	PRON	what
the	DET	the
country	NOUN	country
is	AUX	be
.	PUNCT	.
It	PRON	it
is	AUX	be
a	DET	a
Being	NOUN	being
.	PUNCT	.
The	DET	the
LORD	PROPN	LORD
,	PUNCT	,
God	PROPN	God
of	ADP	of
nations	NOUN	nation
,	PUNCT	,
has	AUX	have
called	VERB	call
it	PRON	it
into	ADP	into
existence	NOUN	existence
,	PUNCT	,
and	CCONJ	and
has	AUX	have
placed	VERB	place
it	PRON	it
here	ADV	here
with	ADP	with
certain	ADJ	certain
duties	NOUN	duty
in	ADP	in
defence	NOUN	defence
of	ADP	of
the	DET	the
civilization	NOUN	civilization
of	ADP	of
the	DET	the
world	NOUN	world
.	PUNCT	.
It	PRON	it
was	AUX	be
the	DET	the
intention	NOUN	intention
of	ADP	of
this	DET	this
parable	NOUN	parable
,	PUNCT	,
which	DET	which
describes	VERB	describe
the	DET	the
life	NOUN	life
of	ADP	of
one	NUM	one
man	NOUN	man
who	PRON	who
tried	VERB	try
to	PART	to
separate	VERB	separate
himself	PRON	himself
from	ADP	from
his	PRON	his
country	NOUN	country
,	PUNCT	,
to	PART	to
show	VERB	show
how	SCONJ	how
terrible	ADJ	terrible
was	AUX	be
his	PRON	his
mistake	NOUN	mistake
.	PUNCT	.
It	PRON	it
does	AUX	do
not	PART	not
need	VERB	need
now	ADV	now
that	SCONJ	that
a	DET	a
man	NOUN	man
should	AUX	should
curse	VERB	curse
the	DET	the
United	PROPN	United
States	PROPN	States
,	PUNCT	,
as	ADP	as
Philip	PROPN	Philip
Nolan	PROPN	Nolan
did	AUX	do
,	PUNCT	,
or	CCONJ	or
that	SCONJ	that
he	PRON	he
should	AUX	should
say	VERB	say
he	PRON	he
hopes	VERB	hope
he	PRON	he
may	AUX	may
never	ADV	never
hear	VERB	hear
her	PRON	she
name	NOUN	name
again	ADV	again
,	PUNCT	,
to	PART	to
make	VERB	make
it	PRON	it
desirable	ADJ	desirable
for	ADP	for
him	PRON	he
to	PART	to
consider	VERB	consider
the	DET	the
lessons	NOUN	lesson
which	DET	which
are	AUX	be
involved	VERB	involve
in	ADP	in
the	DET	the
parable	NOUN	parable
of	ADP	of
his	PRON	his
life	NOUN	life
.	PUNCT	.
Any	DET	any
man	NOUN	man
is	AUX	be
""""	PUNCT	""""
without	ADP	without
a	DET	a
country	NOUN	country
who	PRON	who
,	PUNCT	,
by	ADP	by
his	PRON	his
sneers	NOUN	sneer
,	PUNCT	,
or	CCONJ	or
by	ADP	by
looking	VERB	look
backward	ADV	backward
,	PUNCT	,
or	CCONJ	or
by	ADP	by
revealing	VERB	reveal
his	PRON	his
country	NOUN	country
's	PART	's
secrets	NOUN	secret
to	ADP	to
her	PRON	her
enemy	NOUN	enemy
,	PUNCT	,
checks	VERB	check
for	ADP	for
one	NUM	one
hour	NOUN	hour
the	DET	the
movements	NOUN	movement
which	DET	which
lead	VERB	lead
to	ADP	to
peace	NOUN	peace
among	ADP	among
the	DET	the
nations	NOUN	nation
of	ADP	of
the	DET	the
world	NOUN	world
,	PUNCT	,
or	CCONJ	or
weakens	VERB	weaken
the	DET	the
arm	NOUN	arm
of	ADP	of
the	DET	the
nation	NOUN	nation
in	ADP	in
her	PRON	her
determination	NOUN	determination
to	PART	to
secure	VERB	secure
justice	NOUN	justice
between	ADP	between
man	NOUN	man
and	CCONJ	and
man	NOUN	man
,	PUNCT	,
and	CCONJ	and
in	ADP	in
general	ADJ	general
to	PART	to
secure	VERB	secure
the	DET	the
larger	ADJ	large
life	NOUN	life
of	ADP	of
her	PRON	her
people	NOUN	people
.	PUNCT	.
""""	PUNCT	""""
He	PRON	he
has	AUX	have
not	PART	not
damned	VERB	damn
the	DET	the
United	PROPN	United
States	PROPN	States
in	ADP	in
a	DET	a
spoken	VERB	speak
oath	NOUN	oath
.	PUNCT	.
All	DET	all
the	DET	the
same	ADJ	same
he	PRON	he
is	AUX	be
a	DET	a
dastard	ADJ	dastard
child	NOUN	child
.	PUNCT	.
There	PRON	there
is	AUX	be
a	DET	a
definite	ADJ	definite
,	PUNCT	,
visible	ADJ	visible
Progress	NOUN	progress
in	ADP	in
the	DET	the
affairs	NOUN	affair
of	ADP	of
this	DET	this
world	NOUN	world
.	PUNCT	.
Jesus	PROPN	Jesus
Christ	PROPN	Christ
at	ADP	at
the	DET	the
end	NOUN	end
of	ADP	of
his	PRON	his
life	NOUN	life
prayed	VERB	pray
to	ADP	to
God	PROPN	God
that	SCONJ	that
all	DET	all
men	NOUN	man
might	AUX	might
become	VERB	become
One	NUM	one
,	PUNCT	,
""""	PUNCT	""""
As	ADP	as
thou	PRON	thou
,	PUNCT	,
Father	PROPN	Father
,	PUNCT	,
art	VERB	art
in	ADP	in
me	PRON	I
,	PUNCT	,
and	CCONJ	and
I	PRON	I
in	ADP	in
thee	PRON	thee
,	PUNCT	,
that	SCONJ	that
they	PRON	they
also	ADV	also
may	AUX	may
be	AUX	be
one	NUM	one
in	ADP	in
us	PRON	we
.	PUNCT	.
""""	PUNCT	""""
The	DET	the
history	NOUN	history
of	ADP	of
the	DET	the
world	NOUN	world
for	ADP	for
eighteen	NUM	eighteen
hundred	NUM	hundred
and	CCONJ	and
seventy	NUM	seventy
years	NOUN	year
since	SCONJ	since
he	PRON	he
spoke	VERB	speak
has	AUX	have
shown	VERB	show
the	DET	the
steady	ADJ	steady
fulfilment	NOUN	fulfilment
of	ADP	of
the	DET	the
hope	NOUN	hope
expressed	VERB	express
in	ADP	in
this	DET	this
prayer	NOUN	prayer
.	PUNCT	.
Men	NOUN	man
are	AUX	be
nearer	ADJ	near
unity	NOUN	unity
--	PUNCT	--
they	PRON	they
are	AUX	be
nearer	ADJ	near
to	ADP	to
being	AUX	be
one	NUM	one
--	PUNCT	--
than	ADP	than
they	PRON	they
were	AUX	be
then	ADV	then
.	PUNCT	.
Thus	ADV	thus
,	PUNCT	,
at	ADP	at
that	DET	that
moment	NOUN	moment
each	DET	each
tribe	NOUN	tribe
in	ADP	in
unknown	ADJ	unknown
America	PROPN	America
was	AUX	be
at	ADP	at
war	NOUN	war
with	ADP	with
each	DET	each
other	ADJ	other
tribe	NOUN	tribe
.	PUNCT	.
At	ADP	at
this	DET	this
moment	NOUN	moment
there	PRON	there
is	AUX	be
not	PART	not
one	NUM	one
hostile	ADJ	hostile
weapon	NOUN	weapon
used	VERB	use
by	ADP	by
one	NUM	one
American	PROPN	American
against	ADP	against
another	DET	another
,	PUNCT	,
from	ADP	from
Cape	PROPN	Cape
Bathurst	PROPN	Bathurst
at	ADP	at
the	DET	the
north	NOUN	north
to	ADP	to
the	DET	the
southern	ADJ	southern
point	NOUN	point
of	ADP	of
Patagonia	PROPN	Patagonia
.	PUNCT	.
At	ADP	at
that	DET	that
moment	NOUN	moment
Asia	PROPN	Asia
,	PUNCT	,
Africa	PROPN	Africa
,	PUNCT	,
and	CCONJ	and
Europe	PROPN	Europe
were	AUX	be
scenes	NOUN	scene
of	ADP	of
similar	ADJ	similar
discord	NOUN	discord
.	PUNCT	.
Europe	PROPN	Europe
herself	PRON	herself
knows	VERB	know
so	ADV	so
little	ADJ	little
of	ADP	of
herself	PRON	herself
that	SCONJ	that
no	DET	no
man	NOUN	man
would	AUX	would
pretend	VERB	pretend
to	PART	to
say	VERB	say
which	DET	which
Longbeards	PROPN	Longbeards
were	AUX	be
cutting	VERB	cut
the	DET	the
throats	NOUN	throat
of	ADP	of
other	ADJ	other
Longbeards	PROPN	Longbeards
,	PUNCT	,
or	CCONJ	or
which	DET	which
Scots	PROPN	Scots
were	AUX	be
lying	VERB	lie
in	ADP	in
ambush	NOUN	ambush
for	ADP	for
which	DET	which
Britons	PROPN	Britons
,	PUNCT	,
in	ADP	in
any	DET	any
year	NOUN	year
of	ADP	of
the	DET	the
first	ADJ	first
century	NOUN	century
of	ADP	of
our	PRON	our
era	NOUN	era
.	PUNCT	.
Call	VERB	call
it	PRON	it
the	DET	the
""""	PUNCT	""""
Philosophy	PROPN	Philosophy
of	ADP	of
History	PROPN	History
,	PUNCT	,
""""	PUNCT	""""
or	CCONJ	or
call	VERB	call
it	PRON	it
the	DET	the
""""	PUNCT	""""
Providence	PROPN	Providence
of	ADP	of
God	PROPN	God
,	PUNCT	,
""""	PUNCT	""""
it	PRON	it
is	AUX	be
certain	ADJ	certain
that	SCONJ	that
the	DET	the
unity	NOUN	unity
of	ADP	of
the	DET	the
race	NOUN	race
of	ADP	of
man	NOUN	man
has	AUX	have
asserted	VERB	assert
itself	PRON	itself
as	ADP	as
the	DET	the
Saviour	PROPN	Saviour
of	ADP	of
mankind	NOUN	mankind
said	VERB	say
it	PRON	it
should	AUX	should
.	PUNCT	.
In	ADP	in
this	DET	this
growing	VERB	grow
unity	NOUN	unity
of	ADP	of
mankind	NOUN	mankind
it	PRON	it
has	AUX	have
come	VERB	come
about	ADP	about
that	SCONJ	that
the	DET	the
Sultan	PROPN	Sultan
of	ADP	of
Turkey	PROPN	Turkey
can	AUX	can
not	PART	not
permit	VERB	permit
the	DET	the
massacre	NOUN	massacre
of	ADP	of
Armenian	ADJ	armenian
Christians	PROPN	Christians
without	ADP	without
answering	VERB	answer
for	ADP	for
such	ADJ	such
permission	NOUN	permission
before	ADP	before
the	DET	the
world	NOUN	world
.	PUNCT	.
It	PRON	it
has	AUX	have
come	VERB	come
about	ADP	about
that	SCONJ	that
no	DET	no
viceroy	NOUN	viceroy
,	PUNCT	,
serving	VERB	serve
a	DET	a
woman	NOUN	woman
,	PUNCT	,
who	PRON	who
is	AUX	be
the	DET	the
guardian	NOUN	guardian
of	ADP	of
a	DET	a
boy	NOUN	boy
,	PUNCT	,
can	AUX	can
be	AUX	be
permitted	VERB	permit
to	PART	to
starve	VERB	starve
at	ADP	at
his	PRON	his
pleasure	NOUN	pleasure
two	NUM	two
hundred	NUM	hundred
thousand	NUM	thousand
of	ADP	of
God	PROPN	God
's	PART	's
children	NOUN	child
.	PUNCT	.
The	DET	the
world	NOUN	world
is	AUX	be
so	ADV	so
closely	ADV	closely
united	VERB	unite
--	PUNCT	--
that	DET	that
is	AUX	be
to	PART	to
say	VERB	say
,	PUNCT	,
unity	NOUN	unity
is	AUX	be
so	ADV	so
real	ADJ	real
--	PUNCT	--
that	SCONJ	that
when	SCONJ	when
such	DET	such
a	DET	a
viceroy	NOUN	viceroy
does	AUX	do
undertake	VERB	undertake
to	PART	to
commit	VERB	commit
such	DET	such
an	DET	an
iniquity	NOUN	iniquity
,	PUNCT	,
somebody	PRON	somebody
shall	AUX	shall
hold	VERB	hold
his	PRON	his
hands	NOUN	hand
.	PUNCT	.
The	DET	the
story	NOUN	story
of	ADP	of
Philip	PROPN	Philip
Nolan	PROPN	Nolan
was	AUX	be
published	VERB	publish
in	ADP	in
such	DET	such
a	DET	a
crisis	NOUN	crisis
that	SCONJ	that
it	PRON	it
met	VERB	meet
the	DET	the
public	ADJ	public
eye	NOUN	eye
and	CCONJ	and
interest	NOUN	interest
.	PUNCT	.
It	PRON	it
met	VERB	meet
the	DET	the
taste	NOUN	taste
of	ADP	of
the	DET	the
patriotic	ADJ	patriotic
public	NOUN	public
at	ADP	at
the	DET	the
moment	NOUN	moment
.	PUNCT	.
It	PRON	it
was	AUX	be
copied	VERB	copy
everywhere	ADV	everywhere
without	ADP	without
the	DET	the
slightest	ADJ	slight
deference	NOUN	deference
to	ADP	to
copyright	NOUN	copyright
.	PUNCT	.
It	PRON	it
was	AUX	be
,	PUNCT	,
by	ADP	by
the	DET	the
way	NOUN	way
,	PUNCT	,
printed	VERB	print
much	ADV	much
more	ADV	more
extensively	ADV	extensively
in	ADP	in
England	PROPN	England
than	ADP	than
it	PRON	it
was	AUX	be
in	ADP	in
America	PROPN	America
.	PUNCT	.
Immediately	ADV	immediately
there	PRON	there
began	VERB	begin
to	PART	to
appear	VERB	appear
a	DET	a
series	NOUN	series
of	ADP	of
speculations	NOUN	speculation
based	VERB	base
on	ADP	on
what	PRON	what
you	PRON	you
would	AUX	would
have	AUX	have
said	VERB	say
was	AUX	be
an	DET	an
unimportant	ADJ	unimportant
error	NOUN	error
of	ADP	of
mine	NOUN	mine
.	PUNCT	.
My	PRON	my
hero	NOUN	hero
is	AUX	be
a	DET	a
purely	ADV	purely
imaginary	ADJ	imaginary
character	NOUN	character
.	PUNCT	.
The	DET	the
critics	NOUN	critic
are	AUX	be
right	ADJ	right
in	ADP	in
saying	VERB	say
that	SCONJ	that
not	PART	not
only	ADV	only
there	PRON	there
never	ADV	never
was	AUX	be
such	DET	such
a	DET	a
man	NOUN	man
,	PUNCT	,
but	CCONJ	but
there	PRON	there
never	ADV	never
could	AUX	could
have	AUX	have
been	AUX	be
such	DET	such
a	DET	a
man	NOUN	man
.	PUNCT	.
But	CCONJ	but
he	PRON	he
had	AUX	have
to	PART	to
have	AUX	have
a	DET	a
name	NOUN	name
.	PUNCT	.
And	CCONJ	and
the	DET	the
choice	NOUN	choice
of	ADP	of
a	DET	a
name	NOUN	name
in	ADP	in
a	DET	a
novel	NOUN	novel
is	AUX	be
a	DET	a
matter	NOUN	matter
of	ADP	of
essential	ADJ	essential
importance	NOUN	importance
,	PUNCT	,
as	ADP	as
it	PRON	it
proved	VERB	prove
to	PART	to
be	AUX	be
here	ADV	here
.	PUNCT	.
Now	ADV	now
I	PRON	I
had	AUX	have
a	DET	a
hero	NOUN	hero
who	PRON	who
was	AUX	be
a	DET	a
young	ADJ	young
man	NOUN	man
in	ADP	in
1807	NUM	1807
.	PUNCT	.
He	PRON	he
knew	VERB	know
nothing	PRON	nothing
at	ADP	at
that	DET	that
time	NOUN	time
but	SCONJ	but
the	DET	the
valley	NOUN	valley
of	ADP	of
the	DET	the
Mississippi	PROPN	Mississippi
River	PROPN	River
.	PUNCT	.
""""	PUNCT	""""
He	PRON	he
had	AUX	have
been	AUX	be
educated	VERB	educate
on	ADP	on
a	DET	a
plantation	NOUN	plantation
where	SCONJ	where
the	DET	the
finest	ADJ	fine
company	NOUN	company
was	AUX	be
a	DET	a
Spanish	ADJ	spanish
officer	NOUN	officer
,	PUNCT	,
or	CCONJ	or
a	DET	a
French	PROPN	French
merchant	NOUN	merchant
from	ADP	from
Orleans	PROPN	Orleans
.	PUNCT	.
""""	PUNCT	""""
He	PRON	he
must	AUX	must
therefore	ADV	therefore
have	AUX	have
a	DET	a
name	NOUN	name
familiar	ADJ	familiar
to	ADP	to
Western	ADJ	western
people	NOUN	people
at	ADP	at
that	DET	that
time	NOUN	time
.	PUNCT	.
Well	INTJ	well
,	PUNCT	,
I	PRON	I
remembered	VERB	remember
that	SCONJ	that
in	ADP	in
the	DET	the
preposterous	ADJ	preposterous
memoirs	NOUN	memoir
of	ADP	of
General	PROPN	General
James	PROPN	James
Wilkinson	PROPN	Wilkinson
's	PART	's
,	PUNCT	,
whenever	SCONJ	whenever
he	PRON	he
had	AUX	have
a	DET	a
worse	ADJ	bad
scrape	NOUN	scrape
than	ADP	than
usual	ADJ	usual
to	PART	to
explain	VERB	explain
,	PUNCT	,
he	PRON	he
would	AUX	would
say	VERB	say
that	SCONJ	that
the	DET	the
papers	NOUN	paper
were	AUX	be
lost	VERB	lose
when	SCONJ	when
Mr.	PROPN	Mr.
Nolan	PROPN	Nolan
was	AUX	be
imprisoned	VERB	imprison
or	CCONJ	or
was	AUX	be
killed	VERB	kill
in	ADP	in
Texas	PROPN	Texas
.	PUNCT	.
This	DET	this
Mr.	PROPN	Mr.
Nolan	PROPN	Nolan
,	PUNCT	,
as	ADP	as
Wilkinson	PROPN	Wilkinson
generally	ADV	generally
calls	VERB	call
him	PRON	he
,	PUNCT	,
had	AUX	have
been	AUX	be
engaged	VERB	engage
with	ADP	with
Wilkinson	PROPN	Wilkinson
in	ADP	in
some	DET	some
speculations	NOUN	speculation
mostly	ADV	mostly
relating	VERB	relate
to	ADP	to
horses	NOUN	horse
.	PUNCT	.
Remembering	VERB	remember
this	DET	this
,	PUNCT	,
I	PRON	I
took	VERB	take
the	DET	the
name	NOUN	name
Nolan	PROPN	Nolan
for	ADP	for
my	PRON	my
hero	NOUN	hero
.	PUNCT	.
I	PRON	I
made	VERB	make
my	PRON	my
man	NOUN	man
the	DET	the
real	ADJ	real
man	NOUN	man
's	PART	's
brother	NOUN	brother
.	PUNCT	.
""""	PUNCT	""""
He	PRON	he
had	AUX	have
spent	VERB	spend
half	DET	half
his	PRON	his
youth	NOUN	youth
with	ADP	with
an	DET	an
older	ADJ	old
brother	NOUN	brother
,	PUNCT	,
hunting	VERB	hunt
horses	NOUN	horse
in	ADP	in
Texas	PROPN	Texas
.	PUNCT	.
""""	PUNCT	""""
And	CCONJ	and
"again:--""he"	PUNCT	"again:--""he"
was	AUX	be
