cover	VERB	cover
journey	NOUN	journey
.	PUNCT	.
“	PUNCT	""""
Silver	PROPN	Silver
Blaze	PROPN	Blaze
,	PUNCT	,
”	PUNCT	""""
said	VERB	say
he	PRON	he
,	PUNCT	,
“	PUNCT	""""
is	AUX	be
from	ADP	from
the	DET	the
Isonomy	PROPN	Isonomy
stock	NOUN	stock
,	PUNCT	,
and	CCONJ	and
holds	VERB	hold
as	ADV	as
brilliant	ADJ	brilliant
a	DET	a
record	NOUN	record
as	ADP	as
his	PRON	his
famous	ADJ	famous
ancestor	NOUN	ancestor
.	PUNCT	.
He	PRON	he
is	AUX	be
now	ADV	now
in	ADP	in
his	PRON	his
fifth	ADJ	fifth
year	NOUN	year
,	PUNCT	,
and	CCONJ	and
has	AUX	have
brought	VERB	bring
in	ADP	in
turn	NOUN	turn
each	DET	each
of	ADP	of
the	DET	the
prizes	NOUN	prize
of	ADP	of
the	DET	the
turf	NOUN	turf
to	ADP	to
Colonel	PROPN	Colonel
Ross	PROPN	Ross
,	PUNCT	,
his	PRON	his
fortunate	ADJ	fortunate
owner	NOUN	owner
.	PUNCT	.
Up	ADP	up
to	ADP	to
the	DET	the
time	NOUN	time
of	ADP	of
the	DET	the
catastrophe	NOUN	catastrophe
he	PRON	he
was	AUX	be
the	DET	the
first	ADJ	first
favourite	NOUN	favourite
for	ADP	for
the	DET	the
Wessex	PROPN	Wessex
Cup	PROPN	Cup
,	PUNCT	,
the	DET	the
betting	NOUN	betting
being	AUX	be
three	NUM	three
to	ADP	to
one	NUM	one
on	ADP	on
him	PRON	he
.	PUNCT	.
He	PRON	he
has	AUX	have
always	ADV	always
,	PUNCT	,
however	ADV	however
,	PUNCT	,
been	AUX	be
a	DET	a
prime	ADJ	prime
favourite	NOUN	favourite
with	ADP	with
the	DET	the
racing	NOUN	racing
public	NOUN	public
,	PUNCT	,
and	CCONJ	and
has	AUX	have
never	ADV	never
yet	ADV	yet
disappointed	VERB	disappoint
them	PRON	they
,	PUNCT	,
so	SCONJ	so
that	SCONJ	that
even	ADV	even
at	ADP	at
those	DET	those
odds	NOUN	odd
enormous	ADJ	enormous
sums	NOUN	sum
of	ADP	of
money	NOUN	money
have	AUX	have
been	AUX	be
laid	VERB	lay
upon	SCONJ	upon
him	PRON	he
.	PUNCT	.
It	PRON	it
is	AUX	be
obvious	ADJ	obvious
,	PUNCT	,
therefore	ADV	therefore
,	PUNCT	,
that	SCONJ	that
there	PRON	there
were	AUX	be
many	ADJ	many
people	NOUN	people
who	PRON	who
had	AUX	have
the	DET	the
strongest	ADJ	strong
interest	NOUN	interest
in	ADP	in
preventing	VERB	prevent
Silver	PROPN	Silver
Blaze	PROPN	Blaze
from	ADP	from
being	AUX	be
there	ADV	there
at	ADP	at
the	DET	the
fall	NOUN	fall
of	ADP	of
the	DET	the
flag	NOUN	flag
next	ADP	next
Tuesday	PROPN	Tuesday
.	PUNCT	.
“	PUNCT	""""
The	DET	the
fact	NOUN	fact
was	AUX	be
,	PUNCT	,
of	ADP	of
course	NOUN	course
,	PUNCT	,
appreciated	VERB	appreciate
at	ADP	at
King	PROPN	King
's	PART	's
Pyland	PROPN	Pyland
,	PUNCT	,
where	SCONJ	where
the	DET	the
Colonel	PROPN	Colonel
's	PART	's
training	NOUN	training
-	PUNCT	-
stable	NOUN	stable
is	AUX	be
situated	VERB	situate
.	PUNCT	.
Every	DET	every
precaution	NOUN	precaution
was	AUX	be
taken	VERB	take
to	PART	to
guard	VERB	guard
the	DET	the
favourite	NOUN	favourite
.	PUNCT	.
The	DET	the
trainer	NOUN	trainer
,	PUNCT	,
John	PROPN	John
Straker	PROPN	Straker
,	PUNCT	,
is	AUX	be
a	DET	a
retired	VERB	retire
jockey	NOUN	jockey
who	PRON	who
rode	VERB	ride
in	ADP	in
Colonel	PROPN	Colonel
Ross	PROPN	Ross
's	PART	's
colours	NOUN	colour
before	ADP	before
he	PRON	he
became	VERB	become
too	ADV	too
heavy	ADJ	heavy
for	ADP	for
the	DET	the
weighing	NOUN	weighing
-	PUNCT	-
chair	NOUN	chair
.	PUNCT	.
He	PRON	he
has	AUX	have
served	VERB	serve
the	DET	the
Colonel	PROPN	Colonel
for	ADP	for
five	NUM	five
years	NOUN	year
as	ADP	as
jockey	NOUN	jockey
and	CCONJ	and
for	ADP	for
seven	NUM	seven
as	ADP	as
trainer	NOUN	trainer
,	PUNCT	,
and	CCONJ	and
has	AUX	have
always	ADV	always
shown	VERB	show
himself	PRON	himself
to	PART	to
be	AUX	be
a	DET	a
zealous	ADJ	zealous
and	CCONJ	and
honest	ADJ	honest
servant	NOUN	servant
.	PUNCT	.
Under	ADP	under
him	PRON	he
were	AUX	be
three	NUM	three
lads	NOUN	lad
;	PUNCT	;
for	ADP	for
the	DET	the
establishment	NOUN	establishment
was	AUX	be
a	DET	a
small	ADJ	small
one	NOUN	one
,	PUNCT	,
containing	VERB	contain
only	ADV	only
four	NUM	four
horses	NOUN	horse
in	ADP	in
all	DET	all
.	PUNCT	.
One	NUM	one
of	ADP	of
these	DET	these
lads	NOUN	lad
sat	VERB	sit
up	ADP	up
each	DET	each
night	NOUN	night
in	ADP	in
the	DET	the
stable	NOUN	stable
,	PUNCT	,
while	SCONJ	while
the	DET	the
others	NOUN	other
slept	VERB	sleep
in	ADP	in
the	DET	the
loft	NOUN	loft
.	PUNCT	.
All	DET	all
three	NUM	three
bore	VERB	bear
excellent	ADJ	excellent
characters	NOUN	character
.	PUNCT	.
John	PROPN	John
Straker	PROPN	Straker
,	PUNCT	,
who	PRON	who
is	AUX	be
a	DET	a
married	ADJ	married
man	NOUN	man
,	PUNCT	,
lived	VERB	live
in	ADP	in
a	DET	a
small	ADJ	small
villa	NOUN	villa
about	ADP	about
two	NUM	two
hundred	NUM	hundred
yards	NOUN	yard
from	ADP	from
the	DET	the
stables	NOUN	stable
.	PUNCT	.
He	PRON	he
has	AUX	have
no	DET	no
children	NOUN	child
,	PUNCT	,
keeps	VERB	keep
one	NUM	one
maid	NOUN	maid
-	PUNCT	-
servant	NOUN	servant
,	PUNCT	,
and	CCONJ	and
is	AUX	be
comfortably	ADV	comfortably
off	ADV	off
.	PUNCT	.
The	DET	the
country	NOUN	country
round	ADV	round
is	AUX	be
very	ADV	very
lonely	ADJ	lonely
,	PUNCT	,
but	CCONJ	but
about	ADP	about
half	DET	half
a	DET	a
mile	NOUN	mile
to	ADP	to
the	DET	the
north	NOUN	north
there	PRON	there
