id	title	author	authoryearofbirth	authoryearofdeath	subgenre	historical	scifi	lovestory	detective	downloads	type	subjects	language	length
PG27491	Unthinkable	Phillips, Rog	1909	1965	scifi	no	yes	no	no	30	Text	{'Science fiction'}	['en']	12922
PG29299	Pirates of the Gorm	Schachner, Nathan	1895	1955	scifi	no	yes	no	no	44	Text	{'Science fiction'}	['en']	12953
PG24392	Cat and Mouse	Williams, Ralph	1914	1959	scifi	no	yes	no	no	35	Text	{'Science fiction', 'Hunting stories', 'Alaska -- Fiction'}	['en']	13056
PG1836	The Case of the Golden Bullet	Groner, Auguste	1850	1929	detective	no	no	no	yes	46	Text	{'Detective and mystery stories', 'Fiction'}	['en']	13077
PG3955	L'Abbe Constantin — Volume 2	Halévy, Ludovic	1834	1908	lovestory	no	no	yes	no	19	Text	{'Love stories', 'Clergy -- France -- Fiction', 'Catholic Church -- Clergy -- Fiction', 'France -- Social life and customs -- 19th century -- Fiction'}	['en']	13333
PG14678	The War of the Wenuses	Graves, Charles L. (Charles Larcom)	1856	1944	scifi	no	yes	no	no	42	Text	{'Wells, H. G. (Herbert George), 1866-1946 -- Parodies, imitations, etc.', 'Science fiction'}	['en']	13376
PG58798	The Gun Runners	Williams, Ralph	1914	1959	scifi	no	yes	no	no	29	Text	{'Smugglers -- Fiction', 'Science fiction', 'Illegal arms transfers -- Fiction', 'Time travel -- Fiction'}	['en']	13406
PG22809	The Hermit Of ——— Street: 1898	Green, Anna Katharine	1846	1935	detective	no	no	no	yes	36	Text	{'Detective and mystery stories'}	['en']	13419
PG61855	Phantom of the Seven Stars	Cummings, Ray	1887	1957	scifi	no	yes	no	no	43	Text	{'Space pirates -- Fiction', 'Adventure stories', 'Asteroids -- Fiction', 'Space ships -- Fiction', 'Science fiction'}	['en']	13443
PG18949	Day of the Moron	Piper, H. Beam	1904	1964	scifi	no	yes	no	no	99	Text	{'Science fiction'}	['en']	13452
PG62040	Monster of the Asteroid	Cummings, Ray	1887	1957	scifi	no	yes	no	no	48	Text	{'Inventors -- Fiction', 'Science fiction', 'Human-alien encounters -- Fiction', 'Asteroids -- Fiction'}	['en']	13486
PG32411	Queen of the Flaming Diamond	Yerxa, Leroy	1915	1946	scifi	no	yes	no	no	27	Text	{'Science fiction'}	['en']	13545
PG13526	In the Clutch of the War-God	Hastings, Milo	1884	1957	scifi	no	yes	no	no	37	Text	{'Science fiction', 'Imaginary wars and battles -- Fiction'}	['en']	13777
PG2343	The Adventure of Wisteria Lodge	Doyle, Arthur Conan	1859	1930	detective	no	no	no	yes	115	Text	{'Holmes, Sherlock (Fictitious character) -- Fiction', 'Detective and mystery stories', 'Private investigators -- England -- Fiction'}	['en']	13805
PG1833	The Case of the Registered Letter	Groner, Auguste	1850	1929	detective	no	no	no	yes	32	Text	{'Detective and mystery stories', 'Fiction'}	['en']	13806
PG63581	The Age of Science: A Newspaper of the Twentieth Century	Cobbe, Frances Power	1822	1904	scifi	no	yes	no	no	41	Text	{'Satire', 'Science fiction', 'England -- Fiction', 'Dystopias -- Fiction'}	['en']	13908
PG1834	The Case of the Pocket Diary Found in the Snow	Groner, Auguste	1850	1929	detective	no	no	no	yes	43	Text	{'Detective and mystery stories', 'Fiction'}	['en']	14029
